Entity,Code,Year,Consumption of controlled substance (relative to 1986) - Chemical: All (Ozone-depleting)
World,OWID_WRL,1986,100
World,OWID_WRL,1989,127.62
World,OWID_WRL,1990,75.07
World,OWID_WRL,1991,68.65
World,OWID_WRL,1992,66.01
World,OWID_WRL,1993,58.89
World,OWID_WRL,1994,37.75
World,OWID_WRL,1995,31.26
World,OWID_WRL,1996,22.5
World,OWID_WRL,1997,20.73
World,OWID_WRL,1998,25.96
World,OWID_WRL,1999,22.09
World,OWID_WRL,2000,20.21
World,OWID_WRL,2001,15.96
World,OWID_WRL,2002,12.49
World,OWID_WRL,2003,13.1
World,OWID_WRL,2004,9.71
World,OWID_WRL,2005,7.11
World,OWID_WRL,2006,6.64
World,OWID_WRL,2007,4.73
World,OWID_WRL,2008,3.36
World,OWID_WRL,2009,3.77
World,OWID_WRL,2010,3.35
World,OWID_WRL,2011,3.08
World,OWID_WRL,2012,3.37
World,OWID_WRL,2013,2.24
World,OWID_WRL,2014,2.36
World,OWID_WRL,2015,1.77
World,OWID_WRL,2016,1.65
World,OWID_WRL,2017,1.58
World,OWID_WRL,2018,1.59
World,OWID_WRL,2019,1.63
World,OWID_WRL,2020,0.73
World,OWID_WRL,2021,1.28
