Date,Monthly Air Column Concentration of Ozone (Dobson Units),Latitude,Longitude
2005-01,255.9,-90,0
2005-02,238.6,-90,0
2005-03,244.9,-90,0
2005-04,,-90,0
2005-05,,-90,0
2005-06,,-90,0
2005-07,,-90,0
2005-08,,-90,0
2005-09,,-90,0
2005-10,148.8,-90,0
2005-11,263.8,-90,0
2005-12,263.8,-90,0
2006-01,265.4,-90,0
2006-02,265.4,-90,0
2006-03,265.4,-90,0
2006-04,,-90,0
2006-05,,-90,0
2006-06,,-90,0
2006-07,,-90,0
2006-08,,-90,0
2006-09,,-90,0
2006-10,123.6,-90,0
2006-11,159.8,-90,0
2006-12,273.2,-90,0
2007-01,262.2,-90,0
2007-02,271.7,-90,0
2007-03,266.9,-90,0
2007-04,,-90,0
2007-05,,-90,0
2007-06,,-90,0
2007-07,,-90,0
2007-08,,-90,0
2007-09,,-90,0
2007-10,159.8,-90,0
2007-11,181.9,-90,0
2007-12,237,-90,0
2008-01,282.7,-90,0
2008-02,273.2,-90,0
2008-03,265.4,-90,0
2008-04,,-90,0
2008-05,,-90,0
2008-06,,-90,0
2008-07,,-90,0
2008-08,,-90,0
2008-09,,-90,0
2008-10,142.5,-90,0
2008-11,167.7,-90,0
2008-12,244.9,-90,0
2009-01,274.8,-90,0
2009-02,249.6,-90,0
2009-03,240.2,-90,0
2009-04,,-90,0
2009-05,,-90,0
2009-06,,-90,0
2009-07,,-90,0
2009-08,,-90,0
2009-09,,-90,0
2009-10,158.3,-90,0
2009-11,197.6,-90,0
2009-12,282.7,-90,0
2010-01,276.4,-90,0
2010-02,252.8,-90,0
2010-03,262.2,-90,0
2010-04,,-90,0
2010-05,,-90,0
2010-06,,-90,0
2010-07,,-90,0
2010-08,,-90,0
2010-09,,-90,0
2010-10,150.4,-90,0
2010-11,164.6,-90,0
2010-12,243.3,-90,0
2011-01,262.2,-90,0
2011-02,241.7,-90,0
2011-03,248,-90,0
2011-04,,-90,0
2011-05,,-90,0
2011-06,,-90,0
2011-07,,-90,0
2011-08,,-90,0
2011-09,,-90,0
2011-10,122,-90,0
2011-11,196.1,-90,0
2011-12,252.8,-90,0
2012-01,280.439,-90,0
2012-02,265.583,-90,0
2012-03,259.18,-90,0
2012-04,,-90,0
2012-05,,-90,0
2012-06,,-90,0
2012-07,,-90,0
2012-08,,-90,0
2012-09,,-90,0
2012-10,222.052,-90,0
2012-11,295.05,-90,0
2012-12,296.358,-90,0
2013-01,279.5,-90,0
2013-02,271.7,-90,0
2013-03,241.7,-90,0
2013-04,,-90,0
2013-05,,-90,0
2013-06,,-90,0
2013-07,,-90,0
2013-08,,-90,0
2013-09,,-90,0
2013-10,188.2,-90,0
2013-11,279.5,-90,0
2013-12,298.4,-90,0
2014-01,273.2,-90,0
2014-02,279.5,-90,0
2014-03,257.5,-90,0
2014-04,,-90,0
2014-05,,-90,0
2014-06,,-90,0
2014-07,,-90,0
2014-08,,-90,0
2014-09,,-90,0
2014-10,158.3,-90,0
2014-11,235.4,-90,0
