Time,System Production (Wh)
2020-01-01,714750.0
2020-01-02,735563.0
2020-01-03,277281.0
2020-01-04,104875.0
2020-01-05,664531.0
2020-01-06,542406.0
2020-01-07,812907.0
2020-01-08,808562.0
2020-01-09,1030344.0
2020-01-10,356469.0
2020-01-11,857781.0
2020-01-12,836437.0
2020-01-13,129469.0
2020-01-14,449688.0
2020-01-15,767531.0
2020-01-16,694156.0
2020-01-17,1198000.0
2020-01-18,460250.0
2020-01-19,43969.0
2020-01-20,454406.0
2020-01-21,376344.0
2020-01-22,552094.0
2020-01-23,960687.0
2020-01-24,1160813.0
2020-01-25,178812.0
2020-01-26,1249594.0
2020-01-27,774969.0
2020-01-28,381875.0
2020-01-29,1333500.0
2020-01-30,1335562.0
2020-01-31,1262375.0
2020-02-01,251813.0
2020-02-02,635062.0
2020-02-03,1070781.0
2020-02-04,452719.0
2020-02-05,686781.0
2020-02-06,90094.0
2020-02-07,207719.0
2020-02-08,1407031.0
2020-02-09,1102188.0
2020-02-10,309750.0
2020-02-11,94031.0
2020-02-12,1417969.0
2020-02-13,52062.0
2020-02-14,1642844.0
2020-02-15,1858656.0
2020-02-16,701000.0
2020-02-17,1779063.0
2020-02-18,299875.0
2020-02-19,1669687.0
2020-02-20,1717188.0
2020-02-21,1964812.0
2020-02-22,1945813.0
2020-02-23,1896312.0
2020-02-24,1894906.0
2020-02-25,948469.0
2020-02-26,846625.0
2020-02-27,1135969.0
2020-02-28,2091187.0
2020-02-29,1539532.0
2020-03-01,2033437.0
2020-03-02,1507250.0
2020-03-03,1607656.0
2020-03-04,1551000.0
2020-03-05,2199250.0
2020-03-06,1332782.0
2020-03-07,2238406.0
2020-03-08,1790875.0
2020-03-09,2082500.0
2020-03-10,1266688.0
2020-03-11,1856843.0
2020-03-12,934344.0
2020-03-13,441907.0
2020-03-14,2185156.0
2020-03-15,2455594.0
2020-03-16,2394375.0
2020-03-17,501125.0
2020-03-18,2388250.0
2020-03-19,469125.0
2020-03-20,949500.0
2020-03-21,2448624.0
2020-03-22,2622282.0
2020-03-23,688812.0
2020-03-24,1865938.0
2020-03-25,839625.0
2020-03-26,2604406.0
2020-03-27,2599094.0
2020-03-28,1541843.0
2020-03-29,216531.0
2020-03-30,684969.0
2020-03-31,2312281.0
2020-04-01,1497407.0
2020-04-02,924937.0
2020-04-03,424875.0
2020-04-04,1837625.0
2020-04-05,1410625.0
2020-04-06,2534594.0
2020-04-07,2270406.0
2020-04-08,1242281.0
2020-04-09,289969.0
2020-04-10,1486281.0
2020-04-11,2238000.0
2020-04-12,2156500.0
2020-04-13,284063.0
2020-04-14,2231281.0
2020-04-15,1649875.0
2020-04-16,1847781.0
2020-04-17,2322469.0
2020-04-18,100031.0
2020-04-19,2647469.0
2020-04-20,1578250.0
2020-04-21,1365031.0
2020-04-22,2070344.0
2020-04-23,2708125.0
2020-04-24,596438.0
2020-04-25,2216500.0
2020-04-26,746312.0
2020-04-27,582844.0
2020-04-28,2216656.0
2020-04-29,2699094.0
2020-04-30,754156.0
2020-05-01,908625.0
2020-05-02,2993094.0
2020-05-03,2711062.0
2020-05-04,2120125.0
2020-05-05,2981406.0
2020-05-06,2394750.0
2020-05-07,2431844.0
2020-05-08,1990469.0
2020-05-09,1946187.0
2020-05-10,2513000.0
2020-05-11,1691969.0
2020-05-12,2461531.0
2020-05-13,3209719.0
2020-05-14,3100188.0
2020-05-15,2430406.0
2020-05-16,2457656.0
2020-05-17,1862625.0
2020-05-18,1647500.0
2020-05-19,3187156.0
2020-05-20,3181344.0
2020-05-21,3119813.0
2020-05-22,3035812.0
2020-05-23,1986125.0
2020-05-24,3115563.0
2020-05-25,1476500.0
2020-05-26,2935062.0
2020-05-27,2916688.0
2020-05-28,1652812.0
2020-05-29,1795313.0
2020-05-30,2858375.0
2020-05-31,3153500.0
2020-06-01,2666375.0
2020-06-02,2234500.0
2020-06-03,2311000.0
2020-06-04,2743750.0
2020-06-05,1846750.0
2020-06-06,2046125.0
2020-06-07,1337563.0
2020-06-08,3140000.0
2020-06-09,1956625.0
2020-06-10,2914500.0
2020-06-11,813187.0
2020-06-12,2894563.0
2020-06-13,2915562.0
2020-06-14,3130375.0
2020-06-15,2817250.0
2020-06-16,3170812.0
2020-06-17,3125563.0
2020-06-18,2950375.0
2020-06-19,2852562.0
2020-06-20,2753250.0
2020-06-21,1962188.0
2020-06-22,2625000.0
2020-06-23,2863437.0
2020-06-24,1676125.0
2020-06-25,2894250.0
2020-06-26,2745501.0
2020-06-27,1474750.0
2020-06-28,1625625.0
2020-06-29,749500.0
2020-06-30,831062.0
2020-07-01,1446500.0
2020-07-02,2692125.0
2020-07-03,908938.0
2020-07-04,2455312.0
2020-07-05,2144813.0
2020-07-06,2197500.0
2020-07-07,2560250.0
2020-07-08,1644375.0
2020-07-09,2126125.0
2020-07-10,1967187.0
2020-07-11,2477125.0
2020-07-12,2400063.0
2020-07-13,1267937.0
2020-07-14,2020000.0
2020-07-15,1995563.0
2020-07-16,2731625.0
2020-07-17,849000.0
2020-07-18,2517375.0
2020-07-19,2554250.0
2020-07-20,1888187.0
2020-07-21,2356625.0
2020-07-22,1578438.0
2020-07-23,1729312.0
2020-07-24,1933125.0
2020-07-25,2456813.0
2020-07-26,2393625.0
2020-07-27,2542500.0
2020-07-28,2321750.0
2020-07-29,2305562.0
2020-07-30,1729125.0
2020-07-31,2401938.0
2020-08-01,2461250.0
2020-08-02,1451000.0
2020-08-03,2426250.0
2020-08-04,993750.0
2020-08-05,2226500.0
2020-08-06,2293750.0
2020-08-07,1710187.0
2020-08-08,2356938.0
2020-08-09,2371562.0
2020-08-10,2362500.0
2020-08-11,2276563.0
2020-08-12,2283000.0
2020-08-13,2303625.0
2020-08-14,2403125.0
2020-08-15,650937.0
2020-08-16,724563.0
2020-08-17,1950875.0
2020-08-18,2267312.0
2020-08-19,1707313.0
