Time,System Production (Wh)
2019-01-01,4780.0
2019-01-02,8191.0
2019-01-03,30410.0
2019-01-04,45539.0
2019-01-05,55147.0
2019-01-06,44123.0
2019-01-07,9279.0
2019-01-08,38278.0
2019-01-09,3959.0
2019-01-10,8349.0
2019-01-11,23805.0
2019-01-12,1098.0
2019-01-13,0.0
2019-01-14,1.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,10.0
2019-01-18,2471.0
2019-01-19,2257.0
2019-01-20,3182.0
2019-01-21,5151.0
2019-01-22,3841.0
2019-01-23,6472.0
2019-01-24,729.0
2019-01-25,34178.0
2019-01-26,10933.0
2019-01-27,55714.0
2019-01-28,18865.0
2019-01-29,11861.0
2019-01-30,62818.0
2019-01-31,66808.0
2019-02-01,57.0
2019-02-02,1256.0
2019-02-03,42437.0
2019-02-04,40776.0
2019-02-05,10707.0
2019-02-06,9162.0
2019-02-07,5340.0
2019-02-08,44454.0
2019-02-09,71106.0
2019-02-10,11404.0
2019-02-11,6438.0
2019-02-12,3719.0
2019-02-13,36034.0
2019-02-14,23701.0
2019-02-15,49393.0
2019-02-16,41043.0
2019-02-17,10014.0
2019-02-18,6646.0
2019-02-19,37005.0
2019-02-20,2743.0
2019-02-21,62451.0
2019-02-22,28847.0
2019-02-23,9973.0
2019-02-24,8976.0
2019-02-25,80223.0
2019-02-26,58018.0
2019-02-27,26048.0
2019-02-28,57840.0
2019-03-01,27074.0
2019-03-02,21046.0
2019-03-03,8760.0
2019-03-04,12656.0
2019-03-05,20811.0
2019-03-06,46981.0
2019-03-07,48146.0
2019-03-08,29511.0
2019-03-09,31303.0
2019-03-10,37114.0
2019-03-11,62464.0
2019-03-12,83334.0
2019-03-13,38427.0
2019-03-14,29886.0
2019-03-15,8515.0
2019-03-16,47403.0
2019-03-17,46946.0
2019-03-18,63633.0
2019-03-19,62413.0
2019-03-20,46476.0
2019-03-21,26300.0
2019-03-22,33206.0
2019-03-23,92846.0
2019-03-24,39837.0
2019-03-25,30160.0
2019-03-26,93677.0
2019-03-27,91153.0
2019-03-28,35436.0
2019-03-29,11441.0
2019-03-30,12117.0
2019-03-31,38150.0
2019-04-01,94269.0
2019-04-02,71007.0
2019-04-03,92861.0
2019-04-04,50859.0
2019-04-05,25962.0
2019-04-06,55981.0
2019-04-07,42641.0
2019-04-08,36283.0
2019-04-09,95109.0
2019-04-10,74871.0
2019-04-11,70945.0
2019-04-12,34050.0
2019-04-13,78550.0
2019-04-14,36620.0
2019-04-15,58258.0
2019-04-16,80343.0
2019-04-17,47298.0
2019-04-18,66335.0
2019-04-19,7911.0
2019-04-20,60894.0
2019-04-21,30928.0
2019-04-22,90632.0
2019-04-23,42855.0
2019-04-24,47528.0
2019-04-25,19437.0
2019-04-26,29127.0
2019-04-27,49896.0
2019-04-28,63793.0
2019-04-29,54103.0
2019-04-30,30529.0
2019-05-01,64830.0
2019-05-02,62546.0
2019-05-03,30054.0
2019-05-04,14964.0
2019-05-05,69553.0
2019-05-06,86800.0
2019-05-07,67876.0
2019-05-08,90383.0
2019-05-09,48838.0
2019-05-10,39681.0
2019-05-11,87531.0
2019-05-12,19905.0
2019-05-13,35258.0
2019-05-14,86907.0
2019-05-15,81931.0
2019-05-16,74701.0
2019-05-17,60305.0
2019-05-18,79377.0
2019-05-19,54591.0
2019-05-20,73925.0
2019-05-21,67492.0
2019-05-22,63334.0
2019-05-23,62700.0
2019-05-24,61898.0
2019-05-25,57668.0
2019-05-26,72159.0
2019-05-27,75499.0
2019-05-28,559.0
2019-05-29,59958.0
2019-05-30,36448.0
2019-05-31,61465.0
2019-06-01,85387.0
2019-06-02,75758.0
2019-06-03,96523.0
2019-06-04,71064.0
2019-06-05,45197.0
2019-06-06,79209.0
2019-06-07,61491.0
2019-06-08,38407.0
2019-06-09,46807.0
2019-06-10,34281.0
2019-06-11,95379.0
2019-06-12,61179.0
2019-06-13,36377.0
2019-06-14,95291.0
2019-06-15,37952.0
2019-06-16,56263.0
2019-06-17,31035.0
2019-06-18,47101.0
2019-06-19,59315.0
2019-06-20,30729.0
2019-06-21,84962.0
2019-06-22,93136.0
2019-06-23,86155.0
2019-06-24,49191.0
2019-06-25,86109.0
2019-06-26,80999.0
2019-06-27,62914.0
2019-06-28,79989.0
2019-06-29,77150.0
2019-06-30,82733.0
2019-07-01,85777.0
2019-07-02,72472.0
2019-07-03,44798.0
2019-07-04,79192.0
2019-07-05,25654.0
2019-07-06,64491.0
2019-07-07,72198.0
2019-07-08,89914.0
2019-07-09,73346.0
2019-07-10,70483.0
2019-07-11,59632.0
2019-07-12,83318.0
2019-07-13,89126.0
2019-07-14,86304.0
2019-07-15,64877.0
2019-07-16,59436.0
2019-07-17,46196.0
2019-07-18,64982.0
2019-07-19,74943.0
2019-07-20,76711.0
2019-07-21,67450.0
2019-07-22,27273.0
2019-07-23,83781.0
2019-07-24,81888.0
2019-07-25,83380.0
2019-07-26,83041.0
2019-07-27,83785.0
2019-07-28,79707.0
2019-07-29,75518.0
2019-07-30,51285.0
2019-07-31,63333.0
2019-08-01,72391.0
2019-08-02,84820.0
2019-08-03,84998.0
2019-08-04,83952.0
2019-08-05,64086.0
2019-08-06,60394.0
2019-08-07,51023.0
2019-08-08,59961.0
2019-08-09,89709.0
2019-08-10,81690.0
2019-08-11,78697.0
2019-08-12,53752.0
2019-08-13,31650.0
2019-08-14,65605.0
2019-08-15,78406.0
2019-08-16,66059.0
2019-08-17,55024.0
2019-08-18,80268.0
2019-08-19,71856.0
2019-08-20,59851.0
2019-08-21,50013.0
2019-08-22,28573.0
2019-08-23,55299.0
2019-08-24,78001.0
2019-08-25,74668.0
2019-08-26,27078.0
2019-08-27,10902.0
2019-08-28,79498.0
2019-08-29,79615.0
2019-08-30,68424.0
2019-08-31,44528.0
2019-09-01,48037.0
2019-09-02,64012.0
2019-09-03,78599.0
2019-09-04,73105.0
2019-09-05,84538.0
2019-09-06,57058.0
2019-09-07,67826.0
2019-09-08,42687.0
2019-09-09,75096.0
2019-09-10,76119.0
2019-09-11,67485.0
2019-09-12,68345.0
2019-09-13,68962.0
2019-09-14,74546.0
2019-09-15,64422.0
2019-09-16,60920.0
2019-09-17,61810.0
2019-09-18,76921.0
2019-09-19,75776.0
2019-09-20,62063.0
2019-09-21,46567.0
2019-09-22,75414.0
2019-09-23,55070.0
2019-09-24,61874.0
2019-09-25,72105.0
2019-09-26,73074.0
2019-09-27,72465.0
2019-09-28,45649.0
2019-09-29,34024.0
2019-09-30,60555.0
2019-10-01,55351.0
2019-10-02,62422.0
2019-10-03,54036.0
2019-10-04,41177.0
2019-10-05,72471.0
2019-10-06,14805.0
2019-10-07,15298.0
2019-10-08,73672.0
2019-10-09,71172.0
2019-10-10,60825.0
2019-10-11,31965.0
2019-10-12,76489.0
2019-10-13,74520.0
2019-10-14,71582.0
2019-10-15,70357.0
2019-10-16,11026.0
2019-10-17,53696.0
2019-10-18,69417.0
2019-10-19,59533.0
2019-10-20,55059.0
2019-10-21,37238.0
2019-10-22,54585.0
2019-10-23,69541.0
2019-10-24,61501.0
2019-10-25,16448.0
2019-10-26,7061.0
2019-10-27,23369.0
2019-10-28,66670.0
2019-10-29,11262.0
2019-10-30,12391.0
2019-10-31,3664.0
2019-11-01,61057.0
2019-11-02,45716.0
2019-11-03,60867.0
2019-11-04,32177.0
2019-11-05,37878.0
2019-11-06,57081.0
2019-11-07,3626.0
2019-11-08,57520.0
2019-11-09,26655.0
2019-11-10,38861.0
2019-11-11,20063.0
2019-11-12,2891.0
2019-11-13,2870.0
2019-11-14,18926.0
2019-11-15,49380.0
2019-11-16,59049.0
2019-11-17,52222.0
2019-11-18,51829.0
2019-11-19,9422.0
2019-11-20,49433.0
2019-11-21,10448.0
2019-11-22,35801.0
2019-11-23,15556.0
2019-11-24,20810.0
2019-11-25,51186.0
2019-11-26,36548.0
2019-11-27,22814.0
2019-11-28,8535.0
2019-11-29,11375.0
2019-11-30,7998.0
2019-12-01,29214.0
2019-12-02,4402.0
2019-12-03,2348.0
2019-12-04,26166.0
2019-12-05,56825.0
2019-12-06,8904.0
2019-12-07,56162.0
2019-12-08,16655.0
2019-12-09,958.0
2019-12-10,6101.0
2019-12-11,18860.0
2019-12-12,35734.0
2019-12-13,14226.0
2019-12-14,8750.0
2019-12-15,23462.0
2019-12-16,385.0
2019-12-17,7060.0
2019-12-18,15793.0
2019-12-19,56183.0
2019-12-20,43977.0
2019-12-21,50414.0
2019-12-22,52664.0
2019-12-23,52315.0
2019-12-24,48756.0
2019-12-25,46986.0
2019-12-26,36269.0
2019-12-27,15275.0
2019-12-28,8661.0
2019-12-29,2767.0
2019-12-30,6913.0
2019-12-31,4571.0
2020-01-01,39887.0
2020-01-02,8957.0
2020-01-03,3914.0
2020-01-04,4337.0
2020-01-05,25418.0
2020-01-06,54441.0
2020-01-07,53751.0
2020-01-08,36546.0
2020-01-09,38081.0
2020-01-10,6670.0
2020-01-11,6900.0
2020-01-12,9502.0
2020-01-13,31077.0
2020-01-14,24175.0
2020-01-15,8904.0
2020-01-16,24677.0
2020-01-17,20737.0
2020-01-18,3088.0
2020-01-19,13295.0
2020-01-20,52696.0
2020-01-21,59306.0
2020-01-22,50124.0
2020-01-23,13550.0
2020-01-24,4483.0
2020-01-25,6523.0
2020-01-26,40.0
2020-01-27,6280.0
2020-01-28,5587.0
2020-01-29,7098.0
2020-01-30,12745.0
2020-01-31,13019.0
2020-02-01,13993.0
2020-02-02,64814.0
2020-02-03,41166.0
2020-02-04,2650.0
2020-02-05,21175.0
2020-02-06,5535.0
2020-02-07,773.0
2020-02-08,446.0
2020-02-09,4916.0
2020-02-10,5041.0
2020-02-11,14467.0
2020-02-12,13646.0
2020-02-13,5186.0
2020-02-14,48394.0
2020-02-15,45537.0
2020-02-16,15794.0
2020-02-17,44720.0
2020-02-18,15013.0
2020-02-19,77951.0
2020-02-20,59865.0
2020-02-21,78404.0
2020-02-22,78986.0
2020-02-23,38343.0
2020-02-24,17309.0
2020-02-25,8636.0
2020-02-26,7090.0
2020-02-27,8274.0
2020-02-28,44335.0
2020-02-29,57561.0
2020-03-01,67549.0
2020-03-02,5731.0
2020-03-03,32998.0
2020-03-04,34390.0
2020-03-05,66186.0
2020-03-06,11871.0
2020-03-07,82263.0
2020-03-08,81432.0
2020-03-09,61252.0
2020-03-10,14027.0
2020-03-11,15972.0
2020-03-12,41855.0
2020-03-13,79890.0
2020-03-14,9633.0
2020-03-15,36105.0
2020-03-16,22581.0
2020-03-17,14185.0
2020-03-18,16064.0
2020-03-19,18541.0
2020-03-20,31012.0
2020-03-21,22049.0
2020-03-22,57764.0
2020-03-23,15611.0
2020-03-24,23082.0
2020-03-25,79610.0
2020-03-26,58612.0
2020-03-27,22633.0
2020-03-28,26643.0
2020-03-29,82320.0
2020-03-30,15350.0
2020-03-31,16135.0
2020-04-01,25093.0
2020-04-02,77167.0
2020-04-03,89796.0
2020-04-04,74972.0
2020-04-05,24273.0
2020-04-06,89308.0
2020-04-07,57661.0
2020-04-08,75973.0
2020-04-09,52033.0
2020-04-10,52667.0
2020-04-11,58471.0
2020-04-12,33389.0
2020-04-13,19207.0
2020-04-14,53316.0
2020-04-15,59135.0
2020-04-16,85342.0
2020-04-17,14267.0
2020-04-18,74765.0
2020-04-19,51145.0
2020-04-20,95797.0
2020-04-21,94363.0
2020-04-22,43121.0
2020-04-23,19905.0
2020-04-24,66457.0
2020-04-25,60314.0
2020-04-26,13103.0
2020-04-27,86227.0
2020-04-28,46810.0
2020-04-29,22209.0
2020-04-30,21029.0
2020-05-01,40399.0
2020-05-02,77604.0
2020-05-03,42385.0
2020-05-04,89676.0
2020-05-05,24939.0
2020-05-06,81554.0
2020-05-07,62456.0
2020-05-08,32984.0
2020-05-09,80933.0
2020-05-10,72714.0
2020-05-11,23741.0
2020-05-12,74041.0
2020-05-13,95359.0
2020-05-14,41700.0
2020-05-15,34694.0
2020-05-16,61023.0
2020-05-17,57099.0
2020-05-18,16189.0
2020-05-19,17050.0
2020-05-20,40459.0
2020-05-21,25447.0
2020-05-22,47406.0
2020-05-23,71778.0
2020-05-24,77273.0
2020-05-25,85524.0
2020-05-26,89182.0
2020-05-27,73152.0
2020-05-28,67830.0
2020-05-29,48027.0
2020-05-30,81856.0
2020-05-31,97764.0
2020-06-01,84913.0
2020-06-02,89634.0
2020-06-03,78469.0
2020-06-04,38802.0
2020-06-05,74307.0
2020-06-06,84507.0
2020-06-07,84681.0
2020-06-08,89839.0
2020-06-09,71919.0
2020-06-10,58884.0
2020-06-11,86118.0
2020-06-12,91749.0
2020-06-13,55107.0
2020-06-14,67786.0
2020-06-15,68393.0
2020-06-16,82441.0
2020-06-17,50356.0
2020-06-18,45529.0
2020-06-19,72281.0
2020-06-20,75607.0
2020-06-21,72907.0
2020-06-22,57431.0
2020-06-23,52838.0
2020-06-24,57745.0
2020-06-25,67710.0
2020-06-26,62390.0
2020-06-27,47586.0
2020-06-28,65343.0
2020-06-29,76018.0
2020-06-30,80272.0
2020-07-01,91017.0
2020-07-02,15148.0
2020-07-03,83416.0
2020-07-04,73050.0
2020-07-05,81154.0
2020-07-06,74766.0
2020-07-07,30808.0
2020-07-08,84537.0
2020-07-09,80935.0
2020-07-10,53374.0
2020-07-11,78456.0
2020-07-12,55354.0
2020-07-13,75504.0
2020-07-14,88302.0
2020-07-15,84497.0
2020-07-16,59514.0
2020-07-17,82824.0
2020-07-18,80394.0
2020-07-19,58983.0
2020-07-20,77426.0
2020-07-21,76038.0
2020-07-22,44205.0
2020-07-23,33443.0
2020-07-24,65441.0
2020-07-25,79365.0
2020-07-26,85815.0
2020-07-27,59129.0
2020-07-28,89068.0
2020-07-29,85243.0
2020-07-30,23941.0
2020-07-31,84606.0
2020-08-01,44773.0
2020-08-02,22388.0
2020-08-03,57078.0
2020-08-04,53852.0
2020-08-05,77289.0
2020-08-06,66839.0
2020-08-07,73091.0
2020-08-08,73067.0
2020-08-09,81803.0
2020-08-10,77222.0
2020-08-11,66691.0
2020-08-12,62372.0
2020-08-13,81196.0
2020-08-14,58869.0
2020-08-15,26399.0
2020-08-16,47538.0
2020-08-17,56088.0
2020-08-18,48930.0
2020-08-19,80319.0
2020-08-20,82980.0
2020-08-21,70828.0
2020-08-22,54562.0
2020-08-23,67355.0
2020-08-24,66245.0
2020-08-25,60943.0
2020-08-26,56489.0
2020-08-27,53049.0
2020-08-28,26410.0
2020-08-29,70957.0
2020-08-30,70233.0
2020-08-31,47222.0
2020-09-01,46012.0
2020-09-02,36543.0
2020-09-03,37966.0
2020-09-04,81635.0
2020-09-05,80893.0
2020-09-06,55584.0
2020-09-07,51390.0
2020-09-08,72013.0
2020-09-09,71308.0
2020-09-10,57106.0
2020-09-11,16322.0
2020-09-12,61415.0
2020-09-13,39079.0
2020-09-14,53658.0
2020-09-15,69145.0
2020-09-16,66474.0
2020-09-17,42458.0
2020-09-18,76811.0
2020-09-19,81689.0
2020-09-20,80258.0
2020-09-21,77211.0
2020-09-22,68875.0
2020-09-23,55671.0
2020-09-24,54171.0
2020-09-25,70127.0
2020-09-26,63102.0
2020-09-27,48312.0
2020-09-28,29889.0
2020-09-29,28694.0
2020-09-30,27358.0
2020-10-01,44131.0
2020-10-02,57526.0
2020-10-03,34781.0
2020-10-04,48994.0
2020-10-05,59952.0
2020-10-06,65364.0
2020-10-07,68110.0
2020-10-08,70755.0
2020-10-09,55892.0
2020-10-10,23973.0
2020-10-11,15409.0
2020-10-12,32242.0
2020-10-13,71097.0
2020-10-14,48299.0
2020-10-15,12032.0
2020-10-16,65740.0
2020-10-17,66508.0
2020-10-18,10000.0
2020-10-19,3716.0
2020-10-20,7856.0
2020-10-21,12368.0
2020-10-22,55497.0
2020-10-23,40603.0
2020-10-24,19905.0
2020-10-25,17166.0
2020-10-26,12701.0
2020-10-27,7085.0
2020-10-28,12919.0
2020-10-29,6509.0
2020-10-30,24394.0
2020-10-31,66300.0
2020-11-01,39469.0
2020-11-02,66448.0
2020-11-03,62655.0
2020-11-04,62384.0
2020-11-05,42961.0
2020-11-06,59187.0
2020-11-07,58572.0
2020-11-08,56206.0
2020-11-09,57157.0
2020-11-10,49895.0
2020-11-11,22860.0
2020-11-12,61783.0
2020-11-13,56033.0
2020-11-14,29048.0
2020-11-15,18618.0
2020-11-16,61835.0
2020-11-17,34402.0
2020-11-18,59313.0
2020-11-19,46886.0
2020-11-20,25277.0
2020-11-21,4599.0
2020-11-22,5630.0
2020-11-23,24038.0
2020-11-24,13283.0
2020-11-25,3453.0
2020-11-26,9383.0
2020-11-27,17975.0
2020-11-28,53764.0
2020-11-29,47883.0
2020-11-30,3565.0
2020-12-01,0.0
2020-12-02,8786.0
2020-12-03,15496.0
2020-12-04,16333.0
2020-12-05,20135.0
2020-12-06,21913.0
2020-12-07,2433.0
2020-12-08,9356.0
2020-12-09,43928.0
2020-12-10,49540.0
2020-12-11,47116.0
2020-12-12,7396.0
2020-12-13,8001.0
2020-12-14,6006.0
2020-12-15,34571.0
2020-12-16,582.0
2020-12-17,0.0
2020-12-18,1.0
2020-12-19,567.0
2020-12-20,2658.0
2020-12-21,2785.0
2020-12-22,10431.0
2020-12-23,32076.0
2020-12-24,1084.0
2020-12-25,24.0
2020-12-26,485.0
2020-12-27,452.0
2020-12-28,7342.0
2020-12-29,54094.0
2020-12-30,9269.0
2020-12-31,2820.0
2021-01-01,1638.0
2021-01-02,8480.0
2021-01-03,6591.0
2021-01-04,2572.0
2021-01-05,3928.0
2021-01-06,4516.0
2021-01-07,9145.0
2021-01-08,28172.0
2021-01-09,56267.0
2021-01-10,54562.0
2021-01-11,7546.0
2021-01-12,6897.0
2021-01-13,46733.0
2021-01-14,40244.0
2021-01-15,18522.0
2021-01-16,8981.0
2021-01-17,2251.0
2021-01-18,189.0
2021-01-19,33551.0
2021-01-20,27752.0
2021-01-21,61676.0
2021-01-22,19973.0
2021-01-23,65729.0
2021-01-24,8767.0
2021-01-25,7207.0
2021-01-26,5010.0
2021-01-27,15829.0
2021-01-28,18399.0
2021-01-29,66055.0
2021-01-30,31768.0
2021-01-31,525.0
2021-02-01,13.0
2021-02-02,302.0
2021-02-03,3782.0
2021-02-04,7287.0
2021-02-05,10684.0
2021-02-06,40733.0
2021-02-07,50253.0
2021-02-08,38289.0
2021-02-09,260.0
2021-02-10,246.0
2021-02-11,284.0
2021-02-12,684.0
2021-02-13,521.0
2021-02-14,3294.0
2021-02-15,251.0
2021-02-16,386.0
2021-02-17,1523.0
2021-02-18,107.0
2021-02-19,265.0
2021-02-20,4224.0
2021-02-21,7326.0
2021-02-22,12218.0
2021-02-23,76524.0
2021-02-24,37974.0
2021-02-25,80302.0
2021-02-26,36214.0
2021-02-27,46323.0
2021-02-28,12562.0
2021-03-01,53765.0
2021-03-02,83059.0
2021-03-03,79305.0
2021-03-04,30261.0
2021-03-05,84488.0
2021-03-06,85516.0
2021-03-07,84665.0
2021-03-08,77512.0
2021-03-09,59223.0
2021-03-10,64987.0
2021-03-11,21349.0
2021-03-12,68051.0
2021-03-13,75194.0
2021-03-14,59464.0
2021-03-15,24289.0
2021-03-16,27089.0
2021-03-17,55043.0
2021-03-18,13743.0
2021-03-19,89181.0
2021-03-20,87154.0
2021-03-21,85604.0
2021-03-22,79374.0
2021-03-23,58790.0
2021-03-24,56501.0
2021-03-25,28635.0
2021-03-26,34499.0
2021-03-27,69189.0
2021-03-28,21388.0
2021-03-29,90761.0
2021-03-30,83207.0
2021-03-31,50810.0
2021-04-01,37217.0
2021-04-02,94646.0
2021-04-03,90600.0
2021-04-04,86154.0
2021-04-05,54199.0
2021-04-06,80304.0
2021-04-07,65552.0
2021-04-08,35564.0
2021-04-09,80121.0
2021-04-10,48571.0
2021-04-11,23918.0
