Time,System Production (Wh)
1/1/15,36434.543
1/2/15,17202.3633
1/3/15,673.0439
1/4/15,9156.1309
1/5/15,29038.2676
1/6/15,615.6305
1/7/15,3108.1792
1/8/15,7324.332
1/9/15,26909.4277
1/10/15,41001.5781
1/11/15,7432.7271
1/12/15,4650.1519
1/13/15,40828.5938
1/14/15,11266.1162
1/15/15,35531.3555
1/16/15,9652.7051
1/17/15,33307.0117
1/18/15,2833.5564
1/19/15,37251.0703
1/20/15,15155.9561
1/21/15,5808.3398
1/22/15,3508.293
1/23/15,7622.0132
1/24/15,9853.1475
1/25/15,4360.4478
1/26/15,1873.6047
1/27/15,1378.2103
1/28/15,14579.9287
1/29/15,3828.106
1/30/15,14460.6543
1/31/15,37133.6055
2/1/15,109.3195
2/2/15,27106.0586
2/3/15,24511.3633
2/4/15,28284.2949
2/5/15,4400.875
2/6/15,2357.6892
2/7/15,27948.6016
2/8/15,11893.5449
2/9/15,12321.8096
2/10/15,21909.6406
2/11/15,19469.7129
2/12/15,7391.3584
2/13/15,35973.0664
2/14/15,10225.3545
2/15/15,47056.0703
2/16/15,11708.7754
2/17/15,30386.5215
2/18/15,3927.2278
2/19/15,9729.6182
2/20/15,23480.5566
2/21/15,224.413
2/22/15,11823.5547
2/23/15,45516.3555
2/24/15,44608.3281
2/25/15,45140.9805
2/26/15,31866.9922
2/27/15,32307.666
2/28/15,42508.8086
3/1/15,1898.9762
3/2/15,38274.25
3/3/15,6067.7666
3/4/15,6453.6758
3/5/15,12645.9385
3/6/15,48372.3633
3/7/15,29828.498
3/8/15,44452.0781
3/9/15,45254.6289
3/10/15,6328.6133
3/11/15,41390.8906
3/12/15,45427.1016
3/13/15,9359.7422
3/14/15,21210.5781
3/15/15,48101.6641
3/16/15,34443.125
3/17/15,31745.4805
3/18/15,49456.6992
3/19/15,35602.875
3/20/15,14077.7158
3/21/15,27860.3242
3/22/15,46975.0859
3/23/15,13879.6748
3/24/15,44845.3945
3/25/15,24625.8984
3/26/15,7491.2559
3/27/15,20320.4219
3/28/15,36300.7656
3/29/15,43473.0469
3/30/15,42406.9531
3/31/15,41960.6172
4/1/15,50905.793
4/2/15,13260.1445
4/3/15,8754.7832
4/4/15,52610.5703
4/5/15,48138.5547
4/6/15,13450.4912
4/7/15,6959.3525
4/8/15,14173.4043
4/9/15,14422.9736
4/10/15,35458.1875
4/11/15,50327.7656
4/12/15,48397.7383
4/13/15,41283.6719
4/14/15,15616.7109
4/15/15,39132.6133
4/16/15,9071.7021
4/17/15,43824.7266
4/18/15,43421.2891
4/19/15,19926.2617
4/20/15,20361.416
4/21/15,40767.793
4/22/15,24199.4355
4/23/15,31850.1309
4/24/15,51590.6328
4/25/15,11322.3154
4/26/15,52041.875
4/27/15,29027.3086
4/28/15,51628.6836
4/29/15,50286.4453
4/30/15,24555.2695
5/1/15,45997.2969
5/2/15,43189.9844
5/3/15,45823.3945
5/4/15,38199.1719
5/5/15,37022.1328
5/6/15,47613.2734
5/7/15,45175.3281
5/8/15,45522.8516
5/9/15,42281.2656
5/10/15,35049.3008
5/11/15,31373.1543
5/12/15,43074.4609
5/13/15,34946.0859
5/14/15,44155.7148
5/15/15,31475.3008
5/16/15,19558.5254
5/17/15,21054.8887
5/18/15,28346.0312
5/19/15,50428.1562
5/20/15,40702.543
5/21/15,26088.0898
5/22/15,45515.1562
5/23/15,52022.9766
5/24/15,43503.0156
5/25/15,33810.8398
5/26/15,32910.1836
5/27/15,38998.3633
5/28/15,39801.0352
5/29/15,31295.5508
5/30/15,32265.5664
5/31/15,20183.1152
6/1/15,11186.4424
6/2/15,22715.709
6/3/15,26252.8828
6/4/15,34519.6797
6/5/15,45546.5117
6/6/15,32287.1777
6/7/15,43381.7227
6/8/15,20130.6172
6/9/15,38284.0117
6/10/15,45633.5039
6/11/15,47649.2461
6/12/15,39200.8398
6/13/15,25999.2637
6/14/15,35507.5859
6/15/15,34555.0508
6/16/15,33409.3086
6/17/15,12347.8867
6/18/15,33024.2266
6/19/15,15342.7549
6/20/15,8336.0928
6/21/15,42188.6367
6/22/15,39392.8086
6/23/15,38682.6953
6/24/15,45795.6641
6/25/15,18375.4453
6/26/15,24826.2266
6/27/15,17496.6113
6/28/15,29365.6504
6/29/15,11780.0859
6/30/15,23732.3672
7/1/15,41997.4609
7/2/15,19330.4297
7/3/15,28447.7969
7/4/15,48188.7109
7/5/15,35865.6172
7/6/15,37694.1641
7/7/15,24000.4102
7/8/15,20141.1172
7/9/15,18171.4434
7/10/15,14175.5361
7/11/15,48606.2461
7/12/15,20218.4023
7/13/15,25523.0938
7/14/15,19754.3809
7/15/15,24073.9492
7/16/15,48799.5742
7/17/15,23619.6934
7/18/15,34965.9531
7/19/15,29256.6504
7/20/15,38386.8398
7/21/15,40726.082
7/22/15,45010.5195
7/23/15,45608.0039
7/24/15,46200.0156
7/25/15,46455.1328
7/26/15,29244.9922
7/27/15,36266.8047
7/28/15,40842.3555
7/29/15,39194.0586
7/30/15,49957.5625
7/31/15,47244.7734
8/1/15,45071.4961
8/2/15,47022.4258
8/3/15,39416.543
8/4/15,47835.2383
8/5/15,48476.4062
8/6/15,13993.8857
8/7/15,47325.6758
8/8/15,46825.1602
8/9/15,29091.1113
8/10/15,17722.5742
8/11/15,40422.2734
8/12/15,43909.0156
8/13/15,45917.418
8/14/15,44160.7227
8/15/15,43366.8516
8/16/15,42756.3867
8/17/15,35003.6523
8/18/15,30894.9375
8/19/15,29157.3105
8/20/15,39146.4609
8/21/15,48385.8906
8/22/15,49818.543
8/23/15,44358.5234
8/24/15,43969.9961
8/25/15,26790.3203
8/26/15,18695.0254
8/27/15,32942.4375
8/28/15,41472.7969
8/29/15,32323.3652
8/30/15,32978.2461
8/31/15,38987.3477
9/1/15,39497.0352
9/2/15,35523.2773
9/3/15,35019.4023
9/4/15,32064.0898
9/5/15,45243.832
9/6/15,40068.7188
9/7/15,44119.2461
9/8/15,41836.6016
9/9/15,25455.2285
9/10/15,33803.0742
9/11/15,31624.2949
9/12/15,21234.2715
9/13/15,37176.5156
9/14/15,48379.9375
9/15/15,46834.707
9/16/15,46091.3633
9/17/15,44888.1562
9/18/15,41463.3242
9/19/15,17345.7227
