Time,System Production (Wh)
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,359.0
2021-01-05,1317.0
2021-01-06,1195.0
2021-01-07,3345.0
2021-01-08,10489.0
2021-01-09,20639.0
2021-01-10,20639.0
2021-01-11,2709.0
2021-01-12,2469.0
2021-01-13,17717.0
2021-01-14,15233.0
2021-01-15,6143.0
2021-01-16,3991.0
2021-01-17,1884.0
2021-01-18,0.0
2021-01-19,16507.0
2021-01-20,10785.0
2021-01-21,22369.0
2021-01-22,5409.0
2021-01-23,24249.0
2021-01-24,3221.0
2021-01-25,2595.0
2021-01-26,1756.0
2021-01-27,5983.0
2021-01-28,7098.0
2021-01-29,24367.0
2021-01-30,12072.0
2021-01-31,561.0
2021-02-01,0.0
2021-02-02,58.0
2021-02-03,1500.0
2021-02-04,2392.0
2021-02-05,2033.0
2021-02-06,7189.0
2021-02-07,11163.0
2021-02-08,11606.0
2021-02-09,0.0
2021-02-10,8.0
2021-02-11,0.0
2021-02-12,1084.0
2021-02-13,1448.0
2021-02-14,5067.0
2021-02-15,101.0
2021-02-16,114.0
2021-02-17,1328.0
2021-02-18,29.0
2021-02-19,176.0
2021-02-20,4462.0
2021-02-21,8021.0
2021-02-22,3399.0
2021-02-23,27489.0
2021-02-24,14974.0
2021-02-25,30679.0
2021-02-26,13803.0
2021-02-27,17538.0
2021-02-28,4659.0
2021-03-01,21263.0
2021-03-02,32200.0
2021-03-03,30830.0
2021-03-04,11883.0
2021-03-05,33083.0
2021-03-06,33530.0
2021-03-07,33224.0
2021-03-08,30260.0
2021-03-09,22982.0
2021-03-10,25615.0
2021-03-11,8083.0
2021-03-12,27073.0
2021-03-13,29715.0
2021-03-14,23586.0
2021-03-15,9295.0
2021-03-16,8837.0
2021-03-17,21787.0
2021-03-18,5868.0
2021-03-19,35987.0
2021-03-20,35230.0
2021-03-21,34518.0
2021-03-22,31850.0
2021-03-23,23068.0
2021-03-24,22320.0
2021-03-25,10971.0
2021-03-26,13706.0
2021-03-27,27707.0
2021-03-28,8186.0
2021-03-29,36889.0
2021-03-30,33360.0
2021-03-31,20011.0
2021-04-01,14673.0
2021-04-02,38534.0
2021-04-03,36211.0
2021-04-04,34878.0
2021-04-05,21416.0
2021-04-06,32102.0
2021-04-07,26147.0
2021-04-08,13856.0
2021-04-09,32035.0
2021-04-10,19139.0
2021-04-11,9315.0
2021-04-12,11721.0
2021-04-13,35010.0
2021-04-14,29597.0
2021-04-15,14893.0
2021-04-16,19918.0
2021-04-17,19663.0
2021-04-18,27216.0
2021-04-19,26690.0
2021-04-20,29905.0
2021-04-21,17072.0
2021-04-22,21848.0
2021-04-23,32582.0
2021-04-24,10320.0
2021-04-25,28719.0
2021-04-26,37383.0
2021-04-27,36067.0
2021-04-28,14041.0
2021-04-29,5326.0
2021-04-30,29164.0
2021-05-01,38048.0
2021-05-02,26933.0
2021-05-03,9967.0
2021-05-04,8701.0
2021-05-05,21087.0
2021-05-06,24667.0
2021-05-07,25375.0
2021-05-08,28537.0
2021-05-09,2053.0
2021-05-10,28859.0
2021-05-11,32410.0
2021-05-12,33247.0
2021-05-13,36909.0
2021-05-14,26720.0
2021-05-15,34801.0
2021-05-16,30844.0
2021-05-17,21142.0
2021-05-18,32530.0
2021-05-19,32679.0
2021-05-20,30964.0
2021-05-21,30487.0
2021-05-22,25220.0
2021-05-23,28521.0
2021-05-24,20852.0
2021-05-25,30193.0
2021-05-26,15348.0
2021-05-27,9783.0
2021-05-28,7684.0
2021-05-29,5060.0
2021-05-30,20901.0
2021-05-31,32877.0
2021-06-01,27198.0
2021-06-02,8701.0
2021-06-03,7028.0
2021-06-04,30413.0
2021-06-05,35256.0
2021-06-06,23690.0
2021-06-07,19824.0
2021-06-08,23376.0
2021-06-09,15025.0
2021-06-10,17731.0
2021-06-11,21450.0
2021-06-12,28486.0
2021-06-13,31269.0
2021-06-14,33451.0
2021-06-15,27898.0
2021-06-16,36882.0
2021-06-17,36594.0
2021-06-18,13841.0
2021-06-19,25115.0
2021-06-20,28982.0
2021-06-21,22475.0
2021-06-22,38491.0
2021-06-23,32948.0
2021-06-24,29395.0
2021-06-25,16576.0
2021-06-26,25284.0
2021-06-27,31636.0
