Time,System Production (Wh)
2020-01-01,40781.0
2020-01-02,9720.0
2020-01-03,4292.0
2020-01-04,4753.0
2020-01-05,27100.0
2020-01-06,57032.0
2020-01-07,57403.0
2020-01-08,37174.0
2020-01-09,40905.0
2020-01-10,7311.0
2020-01-11,7507.0
2020-01-12,10360.0
2020-01-13,33333.0
2020-01-14,26026.0
2020-01-15,9827.0
2020-01-16,25976.0
2020-01-17,22388.0
2020-01-18,3414.0
2020-01-19,14096.0
2020-01-20,56726.0
2020-01-21,61608.0
2020-01-22,54046.0
2020-01-23,14745.0
2020-01-24,4930.0
2020-01-25,7128.0
2020-01-26,96.0
2020-01-27,6819.0
2020-01-28,6282.0
2020-01-29,7761.0
2020-01-30,13848.0
2020-01-31,14132.0
2020-02-01,15165.0
2020-02-02,69930.0
2020-02-03,44476.0
2020-02-04,2924.0
2020-02-05,22935.0
2020-02-06,6039.0
2020-02-07,965.0
2020-02-08,487.0
2020-02-09,4609.0
2020-02-10,5475.0
2020-02-11,16014.0
2020-02-12,14750.0
2020-02-13,3632.0
2020-02-14,43650.0
2020-02-15,47817.0
2020-02-16,18574.0
2020-02-17,48325.0
2020-02-18,16292.0
2020-02-19,84541.0
2020-02-20,65129.0
2020-02-21,85295.0
2020-02-22,85892.0
2020-02-23,42209.0
2020-02-24,18721.0
2020-02-25,9363.0
2020-02-26,7728.0
2020-02-27,11145.0
2020-02-28,50317.0
2020-02-29,63432.0
2020-03-01,73300.0
2020-03-02,6267.0
2020-03-03,36374.0
2020-03-04,39024.0
2020-03-05,72786.0
2020-03-06,12920.0
2020-03-07,91462.0
2020-03-08,87118.0
2020-03-09,66684.0
2020-03-10,15156.0
2020-03-11,17268.0
2020-03-12,44939.0
2020-03-13,86558.0
2020-03-14,10210.0
2020-03-15,36130.0
2020-03-16,24398.0
2020-03-17,15336.0
2020-03-18,17359.0
2020-03-19,20043.0
2020-03-20,33710.0
2020-03-21,23832.0
2020-03-22,62815.0
2020-03-23,16936.0
2020-03-24,25012.0
2020-03-25,86981.0
2020-03-26,63386.0
2020-03-27,24692.0
2020-03-28,28975.0
2020-03-29,89884.0
2020-03-30,16607.0
2020-03-31,17414.0
2020-04-01,27152.0
2020-04-02,82780.0
2020-04-03,99048.0
2020-04-04,81382.0
2020-04-05,26341.0
2020-04-06,97087.0
2020-04-07,62727.0
2020-04-08,82788.0
2020-04-09,55806.0
2020-04-10,56579.0
2020-04-11,63370.0
2020-04-12,36307.0
2020-04-13,20826.0
2020-04-14,57822.0
2020-04-15,63347.0
2020-04-16,89888.0
2020-04-17,15477.0
2020-04-18,79369.0
2020-04-19,55268.0
2020-04-20,104179.0
2020-04-21,98981.0
2020-04-22,46504.0
2020-04-23,21592.0
2020-04-24,71697.0
2020-04-25,65544.0
2020-04-26,14226.0
2020-04-27,94402.0
2020-04-28,50834.0
2020-04-29,24044.0
2020-04-30,22740.0
2020-05-01,43498.0
2020-05-02,83223.0
2020-05-03,45960.0
2020-05-04,97733.0
2020-05-05,27021.0
2020-05-06,87035.0
2020-05-07,67196.0
2020-05-08,35596.0
2020-05-09,86583.0
2020-05-10,78447.0
2020-05-11,25689.0
2020-05-12,79162.0
2020-05-13,102087.0
2020-05-14,45077.0
2020-05-15,37619.0
2020-05-16,65812.0
2020-05-17,61947.0
2020-05-18,17575.0
2020-05-19,18480.0
2020-05-20,43797.0
2020-05-21,27630.0
2020-05-22,51011.0
2020-05-23,77051.0
2020-05-24,84378.0
2020-05-25,93129.0
2020-05-26,97419.0
2020-05-27,79194.0
2020-05-28,73088.0
2020-05-29,52032.0
2020-05-30,86882.0
2020-05-31,106528.0
2020-06-01,91877.0
2020-06-02,97785.0
2020-06-03,84606.0
2020-06-04,42152.0
2020-06-05,80654.0
2020-06-06,91860.0
2020-06-07,91528.0
2020-06-08,98040.0
2020-06-09,78713.0
2020-06-10,63699.0
2020-06-11,91848.0
2020-06-12,99197.0
2020-06-13,57810.0
2020-06-14,73603.0
2020-06-15,73627.0
2020-06-16,89360.0
2020-06-17,54621.0
2020-06-18,49036.0
2020-06-19,78347.0
2020-06-20,81720.0
2020-06-21,79338.0
2020-06-22,61938.0
2020-06-23,57298.0
2020-06-24,62141.0
2020-06-25,73021.0
2020-06-26,68093.0
2020-06-27,51699.0
2020-06-28,70544.0
2020-06-29,81427.0
2020-06-30,86686.0
2020-07-01,98920.0
2020-07-02,16179.0
2020-07-03,90668.0
2020-07-04,79573.0
2020-07-05,87913.0
2020-07-06,79423.0
2020-07-07,33489.0
2020-07-08,90971.0
2020-07-09,88201.0
2020-07-10,57711.0
2020-07-11,84795.0
2020-07-12,59439.0
