Time,System Production (Wh)
2020-01-01,161019.0
2020-01-02,159422.0
2020-01-03,25771.0
2020-01-04,92740.0
2020-01-05,51206.0
2020-01-06,153075.0
2020-01-07,110539.0
2020-01-08,145590.0
2020-01-09,47626.0
2020-01-10,86062.0
2020-01-11,437.0
2020-01-12,1552.0
2020-01-13,12.0
2020-01-14,4723.0
2020-01-15,7804.0
2020-01-16,83738.0
2020-01-17,17707.0
2020-01-18,2144.0
2020-01-19,27529.0
2020-01-20,36094.0
2020-01-21,61527.0
2020-01-22,27686.0
2020-01-23,648.0
2020-01-24,1128.0
2020-01-25,1293.0
2020-01-26,2885.0
2020-01-27,5585.0
2020-01-28,2305.0
2020-01-29,4468.0
2020-01-30,7251.0
2020-01-31,6438.0
2020-02-01,24597.0
2020-02-02,147262.0
2020-02-03,221683.0
2020-02-04,147366.0
2020-02-05,88710.0
2020-02-06,210803.0
2020-02-07,193532.0
2020-02-08,142406.0
2020-02-09,1196.0
2020-02-10,60429.0
2020-02-11,132120.0
2020-02-12,81031.0
2020-02-13,23460.0
2020-02-14,45801.0
2020-02-15,80619.0
2020-02-16,144412.0
2020-02-17,16167.0
2020-02-18,18013.0
2020-02-19,44256.0
2020-02-20,52956.0
2020-02-21,66712.0
2020-02-22,123171.0
2020-02-23,249720.0
2020-02-24,159264.0
2020-02-25,162394.0
2020-02-26,134196.0
2020-02-27,207616.0
2020-02-28,312910.0
2020-02-29,288756.0
2020-03-01,240605.0
2020-03-02,234820.0
2020-03-03,152506.0
2020-03-04,262789.0
2020-03-05,142817.0
2020-03-06,283561.0
2020-03-07,266741.0
2020-03-08,231510.0
2020-03-09,30629.0
2020-03-10,261823.0
2020-03-11,44295.0
2020-03-12,70209.0
2020-03-13,296339.0
2020-03-14,81642.0
2020-03-15,175170.0
2020-03-16,59736.0
2020-03-17,268692.0
2020-03-18,36317.0
2020-03-19,27256.0
2020-03-20,122204.0
2020-03-21,299527.0
2020-03-22,115353.0
2020-03-23,114435.0
2020-03-24,152862.0
2020-03-25,116899.0
2020-03-26,47080.0
2020-03-27,162644.0
2020-03-28,38080.0
2020-03-29,61622.0
2020-03-30,232317.0
2020-03-31,60518.0
2020-04-01,308502.0
2020-04-02,245683.0
2020-04-03,140790.0
2020-04-04,327575.0
2020-04-05,291052.0
2020-04-06,131287.0
2020-04-07,231450.0
2020-04-08,78956.0
2020-04-09,246849.0
2020-04-10,297777.0
2020-04-11,158299.0
2020-04-12,62099.0
2020-04-13,279420.0
2020-04-14,207959.0
2020-04-15,231611.0
2020-04-16,338863.0
2020-04-17,187185.0
2020-04-18,343949.0
2020-04-19,344295.0
2020-04-20,276020.0
2020-04-21,379331.0
2020-04-22,227643.0
2020-04-23,110139.0
2020-04-24,127164.0
