Time,System Production (Wh)
2021-01-01,1885.0
2021-01-02,9887.0
2021-01-03,1751.0
2021-01-04,4787.0
2021-01-05,3270.0
2021-01-06,3612.0
2021-01-07,31614.0
2021-01-08,5471.0
2021-01-09,32519.0
2021-01-10,32705.0
2021-01-11,10499.0
2021-01-12,31685.0
2021-01-13,26969.0
2021-01-14,24055.0
2021-01-15,7434.0
2021-01-16,22779.0
2021-01-17,10685.0
2021-01-18,9976.0
2021-01-19,25903.0
2021-01-20,23168.0
2021-01-21,33596.0
2021-01-22,8360.0
2021-01-23,30155.0
2021-01-24,23532.0
2021-01-25,4308.0
2021-01-26,2748.0
2021-01-27,14069.0
2021-01-28,33898.0
2021-01-29,8348.0
2021-01-30,36787.0
2021-01-31,248.0
2021-02-01,0.0
2021-02-02,6182.0
2021-02-03,23571.0
2021-02-04,38495.0
2021-02-05,30594.0
2021-02-06,18863.0
2021-02-07,10544.0
2021-02-08,39698.0
2021-02-09,10840.0
2021-02-10,16890.0
2021-02-11,4168.0
2021-02-12,9056.0
2021-02-13,4154.0
2021-02-14,14554.0
2021-02-15,6843.0
2021-02-16,29399.0
2021-02-17,33317.0
2021-02-18,32.0
2021-02-19,12341.0
2021-02-20,32139.0
2021-02-21,42177.0
2021-02-22,8084.0
2021-02-23,22085.0
2021-02-24,40882.0
2021-02-25,44913.0
2021-02-26,26540.0
2021-02-27,11856.0
2021-02-28,2337.0
2021-03-01,12241.0
2021-03-02,46379.0
2021-03-03,45729.0
2021-03-04,36873.0
2021-03-05,42530.0
2021-03-06,38603.0
2021-03-07,47045.0
2021-03-08,45738.0
2021-03-09,30379.0
2021-03-10,44269.0
2021-03-11,40062.0
2021-03-12,29693.0
2021-03-13,47256.0
2021-03-14,47984.0
2021-03-15,45766.0
2021-03-16,8240.0
2021-03-17,8034.0
2021-03-18,3869.0
2021-03-19,46436.0
2021-03-20,48477.0
2021-03-21,48635.0
2021-03-22,48852.0
2021-03-23,33835.0
2021-03-24,7718.0
2021-03-25,18551.0
2021-03-26,43763.0
2021-03-27,37204.0
2021-03-28,11153.0
2021-03-29,49189.0
2021-03-30,50853.0
2021-03-31,10137.0
2021-04-01,16926.0
2021-04-02,49838.0
2021-04-03,48996.0
2021-04-04,48727.0
2021-04-05,48319.0
2021-04-06,43979.0
2021-04-07,39695.0
2021-04-08,45924.0
2021-04-09,7843.0
2021-04-10,17726.0
2021-04-11,35228.0
2021-04-12,19816.0
2021-04-13,34813.0
2021-04-14,10687.0
2021-04-15,26284.0
2021-04-16,17491.0
2021-04-17,22125.0
2021-04-18,46021.0
2021-04-19,35313.0
2021-04-20,43835.0
2021-04-21,26555.0
2021-04-22,29533.0
2021-04-23,45894.0
2021-04-24,31494.0
2021-04-25,27704.0
2021-04-26,53482.0
2021-04-27,49521.0
2021-04-28,39047.0
2021-04-29,11949.0
2021-04-30,42832.0
2021-05-01,53623.0
2021-05-02,44899.0
2021-05-03,20020.0
2021-05-04,36372.0
2021-05-05,27567.0
2021-05-06,49282.0
2021-05-07,16682.0
2021-05-08,30735.0
2021-05-09,15936.0
2021-05-10,45663.0
2021-05-11,38511.0
2021-05-12,51147.0
2021-05-13,51971.0
2021-05-14,40702.0
2021-05-15,42110.0
2021-05-16,20367.0
2021-05-17,41486.0
2021-05-18,52294.0
2021-05-19,51853.0
2021-05-20,50305.0
2021-05-21,51097.0
2021-05-22,36866.0
2021-05-23,44382.0
2021-05-24,8175.0
2021-05-25,29608.0
2021-05-26,43119.0
2021-05-27,48498.0
2021-05-28,20287.0
2021-05-29,9929.0
2021-05-30,12859.0
2021-05-31,51716.0
2021-06-01,42301.0
2021-06-02,28699.0
2021-06-03,26249.0
2021-06-04,41467.0
2021-06-05,48792.0
2021-06-06,48266.0
2021-06-07,31706.0
2021-06-08,33545.0
2021-06-09,22247.0
2021-06-10,29435.0
2021-06-11,8441.0
2021-06-12,23430.0
2021-06-13,20639.0
2021-06-14,48235.0
2021-06-15,45125.0
2021-06-16,53162.0
2021-06-17,53075.0
2021-06-18,47932.0
2021-06-19,21111.0
2021-06-20,43954.0
2021-06-21,43865.0
2021-06-22,15283.0
2021-06-23,51949.0
2021-06-24,51931.0
2021-06-25,52425.0
2021-06-26,40360.0
2021-06-27,44683.0
2021-06-28,48468.0
2021-06-29,49839.0
2021-06-30,44802.0
2021-07-01,20287.0
2021-07-02,36397.0
2021-07-03,39455.0
2021-07-04,41802.0
2021-07-05,48102.0
2021-07-06,44736.0
2021-07-07,41369.0
2021-07-08,20993.0
2021-07-09,35970.0
2021-07-10,40491.0
2021-07-11,31054.0
2021-07-12,37970.0
2021-07-13,45146.0
2021-07-14,40075.0
2021-07-15,42203.0
2021-07-16,46864.0
2021-07-17,42110.0
2021-07-18,24386.0
2021-07-19,40666.0
2021-07-20,42272.0
2021-07-21,36598.0
2021-07-22,42824.0
2021-07-23,40365.0
2021-07-24,38222.0
2021-07-25,35894.0
2021-07-26,31047.0
2021-07-27,47209.0
2021-07-28,41356.0
2021-07-29,22986.0
2021-07-30,43208.0
2021-07-31,45822.0
2021-08-01,27458.0
2021-08-02,43723.0
2021-08-03,33678.0
2021-08-04,41490.0
2021-08-05,41414.0
2021-08-06,46691.0
2021-08-07,26044.0
2021-08-08,45267.0
2021-08-09,46116.0
2021-08-10,31528.0
2021-08-11,34134.0
2021-08-12,45268.0
2021-08-13,34444.0
2021-08-14,24268.0
2021-08-15,26449.0
2021-08-16,13578.0
2021-08-17,21034.0
2021-08-18,21857.0
2021-08-19,36669.0
2021-08-20,27262.0
2021-08-21,36079.0
2021-08-22,16238.0
2021-08-23,40686.0
2021-08-24,44362.0
2021-08-25,37181.0
2021-08-26,44194.0
2021-08-27,37363.0
2021-08-28,33629.0
2021-08-29,12439.0
2021-08-30,36528.0
2021-08-31,13417.0
2021-09-01,2503.0
2021-09-02,47763.0
2021-09-03,43110.0
2021-09-04,36772.0
2021-09-05,6264.0
2021-09-06,44605.0
2021-09-07,41841.0
2021-09-08,42157.0
2021-09-09,17367.0
2021-09-10,41715.0
2021-09-11,41247.0
2021-09-12,38699.0
2021-09-13,28937.0
2021-09-14,28701.0
2021-09-15,37124.0
2021-09-16,31622.0
2021-09-17,23574.0
2021-09-18,35555.0
2021-09-19,28228.0
2021-09-20,26361.0
2021-09-21,18839.0
2021-09-22,10618.0
2021-09-23,37223.0
2021-09-24,44864.0
2021-09-25,40316.0
2021-09-26,42614.0
2021-09-27,43012.0
2021-09-28,15403.0
2021-09-29,43177.0
2021-09-30,41512.0
2021-10-01,43202.0
2021-10-01,43202.0
2021-10-02,40878.0
2021-10-02,40878.0
2021-10-03,37212.0
2021-10-03,37212.0
2021-10-04,28709.0
2021-10-04,28709.0
2021-10-05,15313.0
2021-10-05,15313.0
2021-10-06,5056.0
2021-10-06,5056.0
2021-10-07,17710.0
2021-10-07,17710.0
2021-10-08,22362.0
2021-10-08,22362.0
2021-10-09,12253.0
2021-10-09,12253.0
2021-10-10,9066.0
2021-10-10,9066.0
2021-10-11,10986.0
2021-10-11,10986.0
2021-10-12,6559.0
2021-10-12,6559.0
2021-10-13,16009.0
2021-10-13,16009.0
2021-10-14,34104.0
2021-10-14,34104.0
2021-10-15,29696.0
2021-10-15,29696.0
2021-10-16,7777.0
2021-10-16,7777.0
2021-10-17,23175.0
2021-10-17,23175.0
2021-10-18,32150.0
2021-10-18,32150.0
2021-10-19,39016.0
2021-10-19,39016.0
2021-10-20,37996.0
2021-10-20,37996.0
2021-10-21,37534.0
2021-10-21,37534.0
2021-10-22,26563.0
2021-10-22,26563.0
2021-10-23,16189.0
2021-10-23,16189.0
2021-10-24,21806.0
2021-10-24,21806.0
2021-10-25,32040.0
2021-10-25,32040.0
2021-10-26,8427.0
2021-10-26,8427.0
2021-10-27,33989.0
2021-10-27,33989.0
2021-10-28,21510.0
2021-10-28,21510.0
2021-10-29,4853.0
2021-10-29,4853.0
2021-10-30,5990.0
2021-10-30,5990.0
2021-10-31,13888.0
2021-10-31,13888.0
2021-11-01,36409.0
2021-11-02,5818.0
2021-11-03,33303.0
2021-11-04,25461.0
2021-11-05,34476.0
2021-11-06,33451.0
2021-11-07,34080.0
2021-11-08,33621.0
2021-11-09,33714.0
2021-11-10,31436.0
2021-11-11,21336.0
2021-11-12,27534.0
2021-11-13,12587.0
2021-11-14,11705.0
2021-11-15,11783.0
2021-11-16,17397.0
2021-11-17,18633.0
2021-11-18,24326.0
2021-11-19,23898.0
2021-11-20,18062.0
2021-11-21,13027.0
2021-11-22,10298.0
2021-11-23,30984.0
2021-11-24,30119.0
2021-11-25,23907.0
2021-11-26,21047.0
2021-11-27,25029.0
2021-11-28,10310.0
2021-11-29,6773.0
2021-11-30,7443.0
2021-12-01,15868.0
2021-12-02,16332.0
2021-12-03,17017.0
2021-12-04,23399.0
2021-12-05,16877.0
2021-12-06,7415.0
2021-12-07,10987.0
2021-12-08,6783.0
2021-12-09,14153.0
2021-12-10,12516.0
2021-12-11,3966.0
2021-12-12,29368.0
2021-12-13,29415.0
2021-12-14,28782.0
2021-12-15,16712.0
2021-12-16,26624.0
2021-12-17,11465.0
2021-12-18,5271.0
2021-12-19,15885.0
2021-12-20,28673.0
2021-12-21,8056.0
2021-12-22,22833.0
2021-12-23,22388.0
2021-12-24,21392.0
2021-12-25,3438.0
2021-12-26,28658.0
2021-12-27,2639.0
2021-12-28,3458.0
2021-12-29,15943.0
2021-12-30,6851.0
2021-12-31,8255.0
2022-01-01,1453.0
2022-01-02,5378.0
2022-01-03,6415.0
2022-01-04,28776.0
2022-01-05,6693.0
2022-01-06,13371.0
2022-01-07,436.0
2022-01-08,1343.0
2022-01-09,467.0
2022-01-10,25136.0
2022-01-11,31444.0
2022-01-12,14793.0
2022-01-13,15741.0
2022-01-14,5868.0
2022-01-15,16522.0
2022-01-16,5691.0
2022-01-17,1167.0
2022-01-18,10130.0
2022-01-19,15608.0
2022-01-20,16713.0
2022-01-21,28442.0
2022-01-22,33831.0
2022-01-23,19001.0
2022-01-24,25992.0
2022-01-25,17161.0
2022-01-26,30541.0
2022-01-27,34004.0
2022-01-28,5972.0
2022-01-29,29592.0
2022-01-30,17892.0
2022-01-31,17744.0
2022-02-01,33504.0
2022-02-02,30098.0
2022-02-03,5093.0
2022-02-04,4573.0
2022-02-05,31130.0
2022-02-06,37182.0
2022-02-07,24788.0
2022-02-08,32554.0
2022-02-09,37641.0
2022-02-10,34323.0
2022-02-11,33730.0
2022-02-12,15494.0
2022-02-13,14560.0
2022-02-14,28043.0
2022-02-15,39025.0
2022-02-16,33292.0
2022-02-17,11326.0
2022-02-18,21897.0
2022-02-19,23999.0
2022-02-20,42003.0
2022-02-21,40684.0
2022-02-22,14900.0
2022-02-23,26873.0
2022-02-24,7717.0
2022-02-25,31513.0
2022-02-26,32550.0
2022-02-27,42479.0
2022-02-28,42616.0
2022-03-01,31363.0
2022-03-02,37835.0
2022-03-03,33625.0
2022-03-04,44434.0
2022-03-05,25542.0
2022-03-06,11049.0
2022-03-07,9322.0
2022-03-08,31664.0
2022-03-09,5369.0
2022-03-10,31571.0
2022-03-11,44157.0
2022-03-12,2.0
2022-03-13,6408.0
2022-03-14,42847.0
2022-03-15,39158.0
2022-03-16,42944.0
2022-03-17,23045.0
2022-03-18,39054.0
2022-03-19,37411.0
2022-03-20,14353.0
2022-03-21,44650.0
2022-03-22,23490.0
2022-03-23,8914.0
2022-03-24,23923.0
2022-03-25,25631.0
2022-03-26,24391.0
2022-03-27,19115.0
2022-03-28,26124.0
2022-03-29,48966.0
2022-03-30,30075.0
2022-03-31,11533.0
2022-04-01,27576.0
2022-04-02,48851.0
2022-04-03,15374.0
2022-04-04,28724.0
2022-04-05,11816.0
2022-04-06,11178.0
2022-04-07,6994.0
2022-04-08,37590.0
2022-04-09,23669.0
2022-04-10,26374.0
2022-04-11,41089.0
2022-04-12,36176.0
2022-04-13,34709.0
2022-04-14,22094.0
2022-04-15,50373.0
2022-04-16,41566.0
2022-04-17,37164.0
2022-04-18,3772.0
2022-04-19,26636.0
2022-04-20,50815.0
2022-04-21,15815.0
2022-04-22,44275.0
2022-04-23,35557.0
2022-04-24,47595.0
2022-04-25,40759.0
2022-04-26,9752.0
2022-04-27,33295.0
2022-04-28,51033.0
2022-04-29,51293.0
2022-04-30,48382.0
2022-05-01,16044.0
2022-05-02,40949.0
2022-05-03,38127.0
2022-05-04,36575.0
2022-05-05,29205.0
2022-05-06,4980.0
2022-05-07,6568.0
2022-05-08,27437.0
2022-05-09,52510.0
2022-05-10,52175.0
2022-05-11,50710.0
2022-05-12,35881.0
2022-05-13,24146.0
2022-05-14,25757.0
2022-05-15,42716.0
2022-05-16,35985.0
2022-05-17,49735.0
2022-05-18,41986.0
2022-05-19,38323.0
2022-05-20,20261.0
2022-05-21,46362.0
2022-05-22,43946.0
2022-05-23,32085.0
2022-05-24,11717.0
2022-05-25,30293.0
2022-05-26,30978.0
2022-05-27,20455.0
2022-05-28,31749.0
2022-05-29,49400.0
2022-05-30,49611.0
2022-05-31,46148.0
2022-06-01,46433.0
2022-06-02,32756.0
2022-06-03,47401.0
2022-06-04,51223.0
2022-06-05,51403.0
2022-06-06,51918.0
2022-06-07,22225.0
2022-06-08,39713.0
2022-06-09,41576.0
2022-06-10,42330.0
2022-06-11,15184.0
2022-06-12,33493.0
2022-06-13,37473.0
2022-06-14,21035.0
2022-06-15,38568.0
2022-06-16,30951.0
2022-06-17,47165.0
2022-06-18,38744.0
2022-06-19,51564.0
2022-06-20,45423.0
2022-06-21,31568.0
2022-06-22,25473.0
2022-06-23,19275.0
2022-06-24,34201.0
2022-06-25,48101.0
2022-06-26,38936.0
2022-06-27,24541.0
2022-06-28,47490.0
2022-06-29,48013.0
2022-06-30,49941.0
2022-07-01,34150.0
2022-07-02,36670.0
2022-07-03,39330.0
2022-07-04,50056.0
2022-07-05,28006.0
2022-07-06,28052.0
2022-07-07,27446.0
2022-07-08,29739.0
2022-07-09,11856.0
2022-07-10,45051.0
2022-07-11,49815.0
2022-07-12,37579.0
2022-07-13,43278.0
2022-07-14,47371.0
2022-07-15,47350.0
2022-07-16,25053.0
2022-07-17,24611.0
2022-07-18,23959.0
2022-07-19,47242.0
2022-07-20,47727.0
2022-07-21,40964.0
2022-07-22,45448.0
2022-07-23,45498.0
2022-07-24,41999.0
2022-07-25,16021.0
2022-07-26,13500.0
2022-07-27,30642.0
2022-07-28,34049.0
2022-07-29,9098.0
2022-07-30,49235.0
2022-07-31,18470.0
2022-08-01,34123.0
2022-08-02,42053.0
2022-08-03,46870.0
2022-08-04,39500.0
2022-08-05,29520.0
2022-08-06,37166.0
2022-08-07,43596.0
2022-08-08,38923.0
2022-08-09,41353.0
2022-08-10,22152.0
2022-08-11,45473.0
2022-08-12,48749.0
2022-08-13,48390.0
2022-08-14,33050.0
2022-08-15,9271.0
2022-08-16,31555.0
2022-08-17,40649.0
2022-08-18,44908.0
2022-08-19,46887.0
2022-08-20,45283.0
2022-08-21,24838.0
2022-08-22,29878.0
2022-08-23,30544.0
2022-08-24,44934.0
2022-08-25,44106.0
2022-08-26,37462.0
2022-08-27,34712.0
2022-08-28,39397.0
2022-08-29,43436.0
2022-08-30,29156.0
2022-08-31,42785.0
2022-09-01,44192.0
2022-09-02,42413.0
2022-09-03,29924.0
2022-09-04,39997.0
2022-09-05,12257.0
2022-09-06,26892.0
2022-09-07,6367.0
2022-09-08,20734.0
2022-09-09,35136.0
2022-09-10,28766.0
2022-09-11,9076.0
2022-09-12,19780.0
2022-09-13,40704.0
2022-09-14,39289.0
