Time,System Production (Wh)
1/1/19,754
1/2/19,1526
1/3/19,113446
1/4/19,781154
1/5/19,2222087
1/6/19,1092241
1/7/19,263035
1/8/19,2352534
1/9/19,2648737
1/10/19,3097137
1/11/19,718397
1/12/19,507971
1/13/19,654909
1/14/19,1479633
1/15/19,387643
1/16/19,2667916
1/17/19,679645
1/18/19,936602
1/19/19,1115725
1/20/19,1383230
1/21/19,1134035
1/22/19,103516
1/23/19,1271
1/24/19,10382
1/25/19,347507
1/26/19,343443
1/27/19,135157
1/28/19,13
1/29/19,2237
1/30/19,4775
1/31/19,4569
2/1/19,1214
2/2/19,1513
2/3/19,457566
2/4/19,611863
2/5/19,2357871
2/6/19,551711
2/7/19,477304
2/8/19,2555511
2/9/19,2668690
2/10/19,693600
2/11/19,178814
2/12/19,596
2/13/19,613834
2/14/19,1014097
2/15/19,3066869
2/16/19,2819955
2/17/19,179394
2/18/19,538258
2/19/19,908231
2/20/19,42440
2/21/19,533867
2/22/19,981030
2/23/19,303474
2/24/19,1151671
2/25/19,1325845
2/26/19,554158
2/27/19,583762
2/28/19,863913
3/1/19,1082851
3/2/19,185213
3/3/19,1100857
3/4/19,1728929
3/5/19,1674650
3/6/19,1960486
3/7/19,1573122
3/8/19,2080336
3/9/19,1153702
3/10/19,781015
3/11/19,3442566
3/12/19,2821075
3/13/19,1536434
3/14/19,3160349
3/15/19,2604017
3/16/19,6135172
3/17/19,5900687
3/18/19,5283480
3/19/19,5503315
3/20/19,2884725
3/21/19,4122821
3/22/19,6881313
3/23/19,6839285
3/24/19,1441930
3/25/19,7169476
3/26/19,6686862
3/27/19,4824289
3/28/19,6018746
3/29/19,4417095
3/30/19,0
3/31/19,0
4/1/19,2799220
4/2/19,2661989
4/3/19,5677339
4/4/19,691872
4/5/19,4357490
4/6/19,3633593
4/7/19,2366630
4/8/19,6829330
4/9/19,6474428
4/10/19,837630
4/11/19,151418
4/12/19,2220147
4/13/19,3310458
4/14/19,2000944
4/15/19,6801218
4/16/19,5918992
4/17/19,2408281
4/18/19,1699985
4/19/19,8249423
4/20/19,8110627
4/21/19,7433689
4/22/19,4709327
4/23/19,7668123
4/24/19,8040274
4/25/19,4997803
4/26/19,8382489
4/27/19,1249413
4/28/19,5098984
4/29/19,1958292
4/30/19,1246564
5/1/19,2820790
5/2/19,2137385
5/3/19,4318086
5/4/19,7206738
5/5/19,5422396
5/6/19,4631272
5/7/19,6568267
5/8/19,1394247
5/9/19,2626652
5/10/19,6765364
5/11/19,3641400
5/12/19,4260192
5/13/19,7398040
5/14/19,6069521
5/15/19,6691014
5/16/19,2915978
5/17/19,2677954
5/18/19,2873887
5/19/19,4088389
5/20/19,4919861
5/21/19,2827714
5/22/19,6979755
5/23/19,10253571
5/24/19,5001350
5/25/19,8853964
5/26/19,9267946
5/27/19,3364214
5/28/19,3423048
5/29/19,6354910
5/30/19,6123589
5/31/19,10999999
6/1/19,5382250
6/2/19,10857364
6/3/19,5984067
6/4/19,3642354
6/5/19,9664932
6/6/19,10192781
6/7/19,10287297
6/8/19,10118351
6/9/19,4324569
6/10/19,9278807
6/11/19,7462010
6/12/19,2170733
6/13/19,11246719
6/14/19,8423759
6/15/19,6042648
6/16/19,3470242
6/17/19,9483655
6/18/19,9477609
6/19/19,3261544
6/20/19,8237220
6/21/19,6067072
6/22/19,9333029
6/23/19,5092488
6/24/19,3566483
6/25/19,8587429
6/26/19,10034949
6/27/19,8166683
6/28/19,7141330
6/29/19,9688682
6/30/19,4097908
7/1/19,8435704
7/2/19,8940585
7/3/19,6212334
7/4/19,8497213
7/5/19,8640361
7/6/19,4900515
7/7/19,10049206
7/8/19,9243093
7/9/19,8700010
7/10/19,9930596
7/11/19,9951905
7/12/19,10519876
7/13/19,8999335
7/14/19,10155704
7/15/19,8092635
7/16/19,10062954
7/17/19,8296088
7/18/19,6962730
7/19/19,8668137
7/20/19,5589941
7/21/19,9148056
7/22/19,10567178
7/23/19,10590912
7/24/19,11128611
7/25/19,9691699
7/26/19,5909275
7/27/19,7859468
7/28/19,7738928
7/29/19,7175540
7/30/19,8119520
7/31/19,8464380
8/1/19,2805487
8/2/19,3047516
8/3/19,9688777
8/4/19,10063612
8/5/19,8325577
8/6/19,10049133
8/7/19,10323385
8/8/19,9342920
8/9/19,9137204
8/10/19,7239316
8/11/19,3191123
8/12/19,4065702
8/13/19,6764653
8/14/19,2766522
8/15/19,9729680
8/16/19,7402920
8/17/19,9087417
8/18/19,6945540
8/19/19,11009203
8/20/19,6354736
8/21/19,7663249
8/22/19,1138302
8/23/19,8450057
8/24/19,8019490
8/25/19,6765197
8/26/19,1571104
8/27/19,9931601
8/28/19,9841279
8/29/19,9635852
8/30/19,9748915
8/31/19,5285572
9/1/19,8754462
9/2/19,8561084
9/3/19,4690474
9/4/19,4898390
9/5/19,10121909
9/6/19,4753384
9/7/19,6393294
9/8/19,2678596
9/9/19,3003468
9/10/19,5869432
9/11/19,5529508
9/12/19,2166658
9/13/19,6328502
9/14/19,8198575
9/15/19,2678121
9/16/19,8105768
9/17/19,7797258
9/18/19,8212402
9/19/19,2977616
9/20/19,6154252
9/21/19,1201322
9/22/19,1681445
9/23/19,7602621
9/24/19,7585798
9/25/19,5486932
9/26/19,7399099
9/27/19,793974
9/28/19,4194840
9/29/19,930376
9/30/19,6048036
10/1/19,980561
10/2/19,1421895
10/3/19,4495797
10/4/19,3740815
10/5/19,1197791
10/6/19,5693767
10/7/19,7983072
10/8/19,7771307
10/9/19,7539361
10/10/19,3090623
10/11/19,1508470
10/12/19,5976765
10/13/19,1356745
10/14/19,7982998
10/15/19,2909413
10/16/19,5603839
10/17/19,3358349
10/18/19,7303798
10/19/19,4236123
10/20/19,5742554
10/21/19,2580308
10/22/19,1157527
10/23/19,6310643
10/24/19,4091978
10/25/19,7261915
10/26/19,2933635
10/27/19,6806890
10/28/19,1454909
10/29/19,389367
10/30/19,726033
10/31/19,26962
11/1/19,264625
11/2/19,1129683
11/3/19,2672406
11/4/19,2628371
11/5/19,5808280
11/6/19,15
11/7/19,58507
11/8/19,78367
11/9/19,881733
11/10/19,1139914
11/11/19,709120
11/12/19,1849335
11/13/19,720944
11/14/19,472652
11/15/19,3611021
11/16/19,3522548
11/17/19,1078612
11/18/19,640946
11/19/19,980064
11/20/19,1403887
11/21/19,364053
11/22/19,4813237
11/23/19,4444341
11/24/19,2390789
11/25/19,1650298
11/26/19,2962878
11/27/19,1069252
11/28/19,878874
11/29/19,932559
11/30/19,368885
12/1/19,665370
12/2/19,4843321
12/3/19,4266654
12/4/19,4679052
12/5/19,2867807
12/6/19,4753146
12/7/19,3622040
12/8/19,2546855
12/9/19,349352
12/10/19,4348662
12/11/19,4882973
12/12/19,338538
12/13/19,607696
12/14/19,965132
12/15/19,4121360
12/16/19,1745087
12/17/19,1549116
12/18/19,3438035
12/19/19,3687655
12/20/19,2869950
12/21/19,3971015
12/22/19,3866591
12/23/19,3053909
12/24/19,2488337
12/25/19,3400521
12/26/19,2490074
12/27/19,2936245
12/28/19,556155
12/29/19,1379420
12/30/19,768523
12/31/19,1706086
1/1/20,3715537
1/2/20,3527850
1/3/20,779601
1/4/20,1956510
1/5/20,1300095
1/6/20,4212038
1/7/20,3044521
1/8/20,4024709
1/9/20,973669
1/10/20,2544737
1/11/20,20426
1/12/20,46467
1/13/20,304
1/14/20,7924
1/15/20,11361
1/16/20,219113
1/17/20,39903
1/18/20,6590
1/19/20,65152
1/20/20,59564
1/21/20,82493
1/22/20,37637
1/23/20,371
1/24/20,415
1/25/20,114
1/26/20,641
1/27/20,3041
1/28/20,3320
1/29/20,5630
1/30/20,12725
1/31/20,6721
2/1/20,52924
2/2/20,682876
2/3/20,3392450
2/4/20,3246506
2/5/20,2376999
2/6/20,5174637
2/7/20,4590921
2/8/20,3718072
2/9/20,87006
2/10/20,92464
2/11/20,382384
2/12/20,487693
2/13/20,1031531
2/14/20,1396100
2/15/20,1228990
2/16/20,2632006
2/17/20,353946
2/18/20,44873
2/19/20,90591
2/20/20,170237
2/21/20,297873
2/22/20,970940
2/23/20,4077534
2/24/20,3940428
2/25/20,4932248
2/26/20,3493504
2/27/20,5449117
2/28/20,7678629
2/29/20,7251198
3/1/20,6532231
3/2/20,6966313
3/3/20,4019046
3/4/20,8889817
3/5/20,3494463
3/6/20,8901931
3/7/20,8703691
3/8/20,8345118
3/9/20,857301
3/10/20,9049842
3/11/20,1474936
3/12/20,2507627
3/13/20,9456664
3/14/20,2664236
3/15/20,6138432
3/16/20,2434986
3/17/20,9570213
3/18/20,363443
3/19/20,849337
3/20/20,4962120
3/21/20,9676989
3/22/20,4900108
3/23/20,4735861
3/24/20,5528018
3/25/20,4328218
3/26/20,1617379
3/27/20,6154348
3/28/20,1466437
3/29/20,1876184
3/30/20,7729099
3/31/20,1970340
4/1/20,8055605
4/2/20,8696955
4/3/20,5261523
4/4/20,9537655
4/5/20,8811061
4/6/20,4939944
4/7/20,7577419
4/8/20,2551996
4/9/20,7823188
4/10/20,8677698
4/11/20,6120588
4/12/20,2214273
4/13/20,8485902
4/14/20,6632987
4/15/20,7916135
4/16/20,9998611
4/17/20,7345253
4/18/20,10671311
4/19/20,10775467
4/20/20,8854031
4/21/20,10851833
4/22/20,7115992
4/23/20,4183151
4/24/20,5503188
4/25/20,5513486
4/26/20,9836434
4/27/20,3184919
4/28/20,4962193
4/29/20,1179209
4/30/20,10515420
5/1/20,8033116
5/2/20,7634272
5/3/20,10253146
5/4/20,8516206
5/5/20,5185152
5/6/20,8027076
5/7/20,10070305
5/8/20,9996258
5/9/20,2532853
5/10/20,17355
5/11/20,63449
5/12/20,76397
5/13/20,75070
5/14/20,21835
5/15/20,909537
5/16/20,1568300
5/17/20,448974
5/18/20,1136520
5/19/20,1139696
5/20/20,5078003
5/21/20,2584038
5/22/20,3973273
5/23/20,4442659
5/24/20,8862653
5/25/20,8562891
5/26/20,8850327
5/27/20,9789302
5/28/20,2220056
5/29/20,7412348
5/30/20,8999477
5/31/20,9973773
6/1/20,6309454
6/2/20,10616869
6/3/20,10059817
6/4/20,10187664
6/5/20,7806456
6/6/20,9797803
6/7/20,9758483
6/8/20,10847909
6/9/20,4535294
6/10/20,5731058
6/11/20,8972887
6/12/20,9488195
6/13/20,10875622
6/14/20,10902678
6/15/20,10441479
6/16/20,10773901
6/17/20,10253220
6/18/20,9093778
6/19/20,6609926
6/20/20,3467286
6/21/20,7869323
6/22/20,2589480
6/23/20,6506912
6/24/20,6982325
6/25/20,9179336
6/26/20,2286628
6/27/20,6858789
6/28/20,6380466
6/29/20,3537024
6/30/20,7494021
7/1/20,7907270
7/2/20,7628183
7/3/20,7400945
7/4/20,8303197
7/5/20,8343623
7/6/20,6795335
7/7/20,6938500
7/8/20,8447052
7/9/20,5970587
7/10/20,7362834
7/11/20,7591429
7/12/20,7252470
7/13/20,7395971
7/14/20,7241068
7/15/20,1758754
7/16/20,7389672
7/17/20,7776938
7/18/20,5837892
7/19/20,8633412
7/20/20,6994264
7/21/20,5745697
7/22/20,8725692
7/23/20,6651717
7/24/20,8795897
7/25/20,7955378
7/26/20,6306918
7/27/20,7186208
7/28/20,6886187
7/29/20,8202089
7/30/20,6100800
7/31/20,7042335
8/1/20,6060035
8/2/20,5571320
8/3/20,3640177
8/4/20,7532439
