Time,System Production (Wh)
1/1/2018,10065
1/2/2018,8463
1/3/2018,38962
1/4/2018,25219
1/5/2018,23492
1/6/2018,14978
1/7/2018,6966
1/8/2018,38230
1/9/2018,35056
1/10/2018,23603
1/11/2018,31877
1/12/2018,39488
1/13/2018,39478
1/14/2018,38816
1/15/2018,24526
1/16/2018,6752
1/17/2018,23010
1/18/2018,21625
1/19/2018,7680
1/20/2018,14736
1/21/2018,6884
1/22/2018,42011
1/23/2018,32112
1/24/2018,40849
1/25/2018,13806
1/26/2018,7318
1/27/2018,15691
1/28/2018,40385
1/29/2018,42615
1/30/2018,35285
1/31/2018,41527
2/1/2018,33559
2/2/2018,36185
2/3/2018,10716
2/4/2018,40628
2/5/2018,18548
2/6/2018,4449
2/7/2018,10953
2/8/2018,29759
2/9/2018,6117
2/10/2018,8696
2/11/2018,8933
2/12/2018,37779
2/13/2018,5565
2/14/2018,22173
2/15/2018,13312
2/16/2018,18756
2/17/2018,12080
2/18/2018,18041
2/19/2018,13051
2/20/2018,4239
2/21/2018,4943
2/22/2018,5338
2/23/2018,8124
2/24/2018,9589
2/25/2018,30625
2/26/2018,37625
2/27/2018,13026
2/28/2018,27667
3/1/2018,40875
3/2/2018,36091
3/3/2018,12840
3/4/2018,22021
3/5/2018,21425
3/6/2018,46123
3/7/2018,48764
3/8/2018,39609
3/9/2018,17682
3/10/2018,45451
3/11/2018,13330
3/12/2018,45917
3/13/2018,39701
3/14/2018,40916
3/15/2018,18733
3/16/2018,41454
3/17/2018,23842
3/18/2018,30325
3/19/2018,49033
3/20/2018,50686
3/21/2018,47996
3/22/2018,35741
3/23/2018,19594
3/24/2018,18344
3/25/2018,16909
3/26/2018,43743
3/27/2018,14817
3/28/2018,20115
3/29/2018,47993
3/30/2018,49653
3/31/2018,47035
4/1/2018,37062
4/2/2018,34691
4/3/2018,21053
4/4/2018,46680
4/5/2018,27876
4/6/2018,26752
4/7/2018,25257
4/8/2018,49587
4/9/2018,15116
4/10/2018,50226
4/11/2018,49980
4/12/2018,43729
4/13/2018,32461
4/14/2018,50369
4/15/2018,50452
4/16/2018,49697
4/17/2018,48611
4/18/2018,27807
4/19/2018,47743
4/20/2018,13778
4/21/2018,23193
4/22/2018,48616
4/23/2018,48867
4/24/2018,43067
