Time,System Production (Wh)
1/1/2015,405.9445
1/2/2015,18837.33
1/3/2015,20843.35
1/4/2015,20818.25
1/5/2015,21196.7
1/6/2015,24317.47
1/7/2015,25388.75
1/8/2015,61.8575
1/9/2015,137.4529
1/10/2015,21.6163
1/11/2015,127.8073
1/12/2015,716.9457
1/13/2015,560.3054
1/14/2015,14455.11
1/15/2015,1728.596
1/16/2015,24161.28
1/17/2015,13816.16
1/18/2015,10040.46
1/19/2015,1872.898
1/20/2015,26835.89
1/21/2015,6042.957
1/22/2015,1147.996
1/23/2015,1097.511
1/24/2015,18860.63
1/25/2015,9148.572
1/26/2015,42388.85
1/27/2015,48955.82
1/28/2015,51410.58
1/29/2015,30677.29
1/30/2015,39272.15
1/31/2015,49115.06
2/1/2015,48570.54
2/2/2015,22283.77
2/3/2015,28005.21
2/4/2015,38524.8
2/5/2015,65008.15
2/6/2015,55123.96
2/7/2015,65282.25
2/8/2015,70916.06
2/9/2015,71118.95
2/10/2015,23879.05
2/11/2015,4975.755
2/12/2015,45517.53
2/13/2015,75347.5
2/14/2015,74046.66
2/15/2015,35142.35
2/16/2015,4544.652
2/17/2015,49372.31
2/18/2015,77921.73
2/19/2015,50113.52
2/20/2015,11066.72
2/21/2015,19522.51
2/22/2015,9075.928
2/23/2015,6876.214
2/24/2015,33753.61
2/25/2015,14071.47
2/26/2015,20822.56
2/27/2015,74059.33
2/28/2015,8419.762
3/1/2015,91781.23
3/2/2015,90850.23
3/3/2015,8812.49
3/4/2015,72121.69
3/5/2015,11090.19
3/6/2015,34390.05
3/7/2015,10716.09
3/8/2015,21060.46
3/9/2015,44572.88
3/10/2015,87063.98
3/11/2015,95727.2
3/12/2015,60726.66
3/13/2015,72236.02
3/14/2015,101421.4
3/15/2015,111307.8
3/16/2015,30229.45
3/17/2015,107310.3
3/18/2015,106472
3/19/2015,106296.4
3/20/2015,105031.7
3/21/2015,106978.5
3/22/2015,46558.97
3/23/2015,106405.4
3/24/2015,107046.5
3/25/2015,94088.66
