Time,System Production (Wh)
2020-01-01,4113.0
2020-01-02,2807.0
2020-01-03,1534.0
2020-01-04,10204.0
2020-01-05,5088.0
2020-01-06,1541.0
2020-01-07,979.0
2020-01-08,1320.0
2020-01-09,651.0
2020-01-10,509.0
2020-01-11,1658.0
2020-01-12,711.0
2020-01-13,9871.0
2020-01-14,756.0
2020-01-15,752.0
2020-01-16,17118.0
2020-01-17,17541.0
2020-01-18,3682.0
2020-01-19,15218.0
2020-01-20,4847.0
2020-01-21,646.0
2020-01-22,23247.0
2020-01-23,3101.0
2020-01-24,3172.0
2020-01-25,6788.0
2020-01-26,2313.0
2020-01-27,1300.0
2020-01-28,1926.0
2020-01-29,11559.0
2020-01-30,5984.0
2020-01-31,5750.0
2020-02-01,5973.0
2020-02-02,24830.0
2020-02-03,20422.0
2020-02-04,7518.0
2020-02-05,30054.0
2020-02-06,22615.0
2020-02-07,10372.0
2020-02-08,13127.0
2020-02-09,10580.0
2020-02-10,9993.0
2020-02-11,15814.0
2020-02-12,15901.0
2020-02-13,11462.0
2020-02-14,34401.0
2020-02-15,3643.0
2020-02-16,1489.0
2020-02-17,19606.0
2020-02-18,18374.0
2020-02-19,12843.0
2020-02-20,17461.0
2020-02-21,22946.0
2020-02-22,6580.0
2020-02-23,24691.0
2020-02-24,30141.0
2020-02-25,22470.0
2020-02-26,6480.0
2020-02-27,45558.0
2020-02-28,24824.0
2020-02-29,2517.0
2020-03-01,12263.0
2020-03-02,7136.0
2020-03-03,4454.0
2020-03-04,12271.0
2020-03-05,29537.0
2020-03-06,23736.0
2020-03-07,16977.0
2020-03-08,16387.0
2020-03-09,12645.0
2020-03-10,10888.0
2020-03-11,36774.0
2020-03-12,25996.0
2020-03-13,24657.0
2020-03-14,60065.0
2020-03-15,23333.0
2020-03-16,27062.0
2020-03-17,24311.0
2020-03-18,7639.0
2020-03-19,58615.0
2020-03-20,38943.0
2020-03-21,65759.0
2020-03-22,64446.0
2020-03-23,63445.0
2020-03-24,64191.0
2020-03-25,66580.0
2020-03-26,66197.0
2020-03-27,41602.0
2020-03-28,63606.0
2020-03-29,70552.0
2020-03-30,44916.0
2020-03-31,68809.0
2020-04-01,17897.0
2020-04-02,19483.0
2020-04-03,33572.0
2020-04-04,35708.0
2020-04-05,60145.0
2020-04-06,71940.0
2020-04-07,70701.0
2020-04-08,65653.0
2020-04-09,71279.0
2020-04-10,65572.0
2020-04-11,62875.0
2020-04-12,56324.0
2020-04-13,73584.0
2020-04-14,71414.0
2020-04-15,33968.0
2020-04-16,74908.0
2020-04-17,76400.0
2020-04-18,68427.0
2020-04-19,67006.0
2020-04-20,71525.0
2020-04-21,77014.0
2020-04-22,77068.0
2020-04-23,75138.0
2020-04-24,67740.0
2020-04-25,32179.0
2020-04-26,47435.0
2020-04-27,51910.0
2020-04-28,55104.0
2020-04-29,34236.0
2020-04-30,8917.0
2020-05-01,24794.0
2020-05-02,38394.0
2020-05-03,72508.0
2020-05-04,64280.0
2020-05-05,33289.0
2020-05-06,84288.0
2020-05-07,73782.0
2020-05-08,70194.0
2020-05-09,71708.0
2020-05-10,48455.0
2020-05-11,58620.0
2020-05-12,45451.0
2020-05-13,85871.0
2020-05-14,72426.0
2020-05-15,46044.0
2020-05-16,36706.0
2020-05-17,41604.0
2020-05-18,71295.0
2020-05-19,49942.0
2020-05-20,71353.0
2020-05-21,85876.0
2020-05-22,67803.0
2020-05-23,32611.0
2020-05-24,41029.0
2020-05-25,48814.0
2020-05-26,83614.0
2020-05-27,66284.0
2020-05-28,64594.0
2020-05-29,79689.0
2020-05-30,59546.0
2020-05-31,86947.0
2020-06-01,82606.0
2020-06-02,51675.0
2020-06-03,81111.0
2020-06-04,87379.0
2020-06-05,46130.0
2020-06-06,57212.0
2020-06-07,68979.0
2020-06-08,61963.0
2020-06-09,81529.0
2020-06-10,53482.0
2020-06-11,56294.0
2020-06-12,46134.0
2020-06-13,56096.0
2020-06-14,89149.0
2020-06-15,69975.0
2020-06-16,39897.0
2020-06-17,59876.0
2020-06-18,73013.0
2020-06-19,76407.0
2020-06-20,38031.0
2020-06-21,20320.0
2020-06-22,67402.0
2020-06-23,66795.0
2020-06-24,84189.0
2020-06-25,84346.0
2020-06-26,81083.0
2020-06-27,82096.0
2020-06-28,59492.0
2020-06-29,73182.0
2020-06-30,44159.0
2020-07-01,54901.0
2020-07-02,67049.0
2020-07-03,56171.0
2020-07-04,20214.0
2020-07-05,37058.0
2020-07-06,61513.0
2020-07-07,66052.0
2020-07-08,69940.0
2020-07-09,72496.0
2020-07-10,25982.0
2020-07-11,74738.0
2020-07-12,53735.0
2020-07-13,18511.0
2020-07-14,62498.0
2020-07-15,18211.0
2020-07-16,30121.0
2020-07-17,76026.0
2020-07-18,78302.0
2020-07-19,67450.0
2020-07-20,48954.0
2020-07-21,69310.0
2020-07-22,77007.0
2020-07-23,69538.0
2020-07-24,38973.0
2020-07-25,73747.0
2020-07-26,26618.0
2020-07-27,59810.0
2020-07-28,49217.0
2020-07-29,51300.0
2020-07-30,26854.0
2020-07-31,46870.0
2020-08-01,78958.0
2020-08-02,30117.0
2020-08-03,58849.0
2020-08-04,78979.0
2020-08-05,35911.0
2020-08-06,72272.0
2020-08-07,74726.0
2020-08-08,63112.0
2020-08-09,68570.0
2020-08-10,51831.0
2020-08-11,74146.0
2020-08-12,72848.0
2020-08-13,70498.0
2020-08-14,72092.0
2020-08-15,68796.0
2020-08-16,69144.0
2020-08-17,69156.0
2020-08-18,60155.0
2020-08-19,53611.0
2020-08-20,30460.0
2020-08-21,22400.0
2020-08-22,45166.0
2020-08-23,50905.0
2020-08-24,45065.0
2020-08-25,59357.0
2020-08-26,42917.0
2020-08-27,20560.0
2020-08-28,17016.0
2020-08-29,48421.0
2020-08-30,50626.0
2020-08-31,65152.0
2020-09-01,53757.0
2020-09-02,24779.0
2020-09-03,57671.0
2020-09-04,40909.0
2020-09-05,40563.0
2020-09-06,49277.0
2020-09-07,52898.0
2020-09-08,38961.0
2020-09-09,17610.0
2020-09-10,57352.0
2020-09-11,42660.0
2020-09-12,31571.0
2020-09-13,25889.0
2020-09-14,54667.0
2020-09-15,52447.0
2020-09-16,51140.0
2020-09-17,60168.0
2020-09-18,60226.0
2020-09-19,31175.0
2020-09-20,40745.0
2020-09-21,33531.0
2020-09-22,45920.0
2020-09-23,43408.0
2020-09-24,26173.0
2020-09-25,12269.0
2020-09-26,23382.0
2020-09-27,42344.0
2020-09-28,6530.0
2020-09-29,41884.0
2020-09-30,29911.0
2020-10-01,10791.0
2020-10-02,20781.0
2020-10-03,12888.0
2020-10-04,2335.0
2020-10-05,37684.0
2020-10-06,23146.0
2020-10-07,23874.0
2020-10-08,20678.0
2020-10-09,40061.0
2020-10-10,12682.0
2020-10-11,18431.0
2020-10-12,38714.0
2020-10-13,40568.0
2020-10-14,11816.0
2020-10-15,40121.0
2020-10-16,23196.0
2020-10-17,40870.0
2020-10-18,37978.0
2020-10-19,37369.0
2020-10-20,9511.0
2020-10-21,3970.0
2020-10-22,13089.0
2020-10-23,19156.0
2020-10-24,11768.0
2020-10-25,8393.0
2020-10-26,4546.0
2020-10-27,9288.0
2020-10-28,12790.0
2020-10-29,5356.0
2020-10-30,3467.0
2020-10-31,2813.0
2020-11-01,7196.0
2020-11-02,5625.0
