Date/Time,Energy Produced (Wh)
1/1/2018,"12,481"
1/2/2018,"16,379"
1/3/2018,"11,693"
1/4/2018,"5,057"
1/5/2018,"17,115"
1/6/2018,"17,375"
1/7/2018,"15,705"
1/8/2018,"9,125"
1/9/2018,"13,136"
1/10/2018,"5,941"
1/11/2018,"11,263"
1/12/2018,"5,611"
1/13/2018,"17,299"
1/14/2018,"18,647"
1/15/2018,"12,433"
1/16/2018,"14,274"
1/17/2018,"4,364"
1/18/2018,"18,114"
1/19/2018,"18,535"
1/20/2018,"15,840"
1/21/2018,"10,961"
1/22/2018,"11,152"
1/23/2018,"11,125"
1/24/2018,"14,342"
1/25/2018,"19,975"
1/26/2018,"18,513"
1/27/2018,"16,777"
1/28/2018,"2,716"
1/29/2018,"5,632"
1/30/2018,"21,724"
1/31/2018,"16,115"
2/1/2018,"6,186"
2/2/2018,"19,453"
2/3/2018,"21,802"
2/4/2018,"2,095"
2/5/2018,"23,421"
2/6/2018,"9,378"
2/7/2018,"1,812"
2/8/2018,"23,594"
2/9/2018,"16,446"
2/10/2018,"3,295"
2/11/2018,"3,774"
2/12/2018,"12,693"
2/13/2018,"15,968"
2/14/2018,"14,276"
2/15/2018,"14,821"
2/16/2018,"5,864"
2/17/2018,"9,807"
2/18/2018,"23,389"
2/19/2018,"4,845"
2/20/2018,"24,343"
2/21/2018,"22,449"
2/22/2018,"4,233"
2/23/2018,"5,143"
2/24/2018,"4,262"
2/25/2018,"3,576"
2/26/2018,"8,208"
2/27/2018,"27,992"
2/28/2018,"23,323"
3/1/2018,"5,024"
3/2/2018,"21,561"
3/3/2018,"31,433"
3/4/2018,"32,202"
3/5/2018,"32,646"
3/6/2018,"11,134"
3/7/2018,"11,142"
3/8/2018,"23,269"
3/9/2018,"29,515"
3/10/2018,"33,570"
3/11/2018,"32,272"
3/12/2018,"13,182"
3/13/2018,"32,293"
3/14/2018,"25,782"
3/15/2018,"22,126"
3/16/2018,"36,795"
3/17/2018,"9,626"
3/18/2018,"36,307"
3/19/2018,"23,771"
3/20/2018,"4,416"
3/21/2018,39
3/22/2018,"14,689"
3/23/2018,"38,767"
3/24/2018,"34,291"
3/25/2018,"27,643"
3/26/2018,"39,717"
3/27/2018,"16,651"
3/28/2018,"16,879"
3/29/2018,"27,818"
3/30/2018,"15,798"
3/31/2018,"40,214"
4/1/2018,"13,542"
4/2/2018,"13,237"
4/3/2018,"9,096"
4/4/2018,"26,785"
4/5/2018,"41,150"
4/6/2018,"29,689"
4/7/2018,"10,785"
4/8/2018,"42,453"
4/9/2018,"13,741"
4/10/2018,"43,034"
4/11/2018,"31,613"
4/12/2018,"34,015"
4/13/2018,"39,332"
4/14/2018,"39,870"
4/15/2018,"7,706"
4/16/2018,"10,531"
4/17/2018,"13,698"
4/18/2018,"42,287"
4/19/2018,"25,114"
4/20/2018,"45,834"
4/21/2018,"39,776"
4/22/2018,"38,475"
4/23/2018,"31,888"
4/24/2018,"13,019"
4/25/2018,"9,948"
4/26/2018,"44,016"
4/27/2018,"13,754"
4/28/2018,"33,467"
4/29/2018,"33,840"
4/30/2018,"45,701"
5/1/2018,"43,798"
5/2/2018,"41,339"
5/3/2018,"40,555"
5/4/2018,"35,568"
5/5/2018,"15,328"
5/6/2018,"19,335"
5/7/2018,"40,768"
5/8/2018,"43,015"
5/9/2018,"42,474"
5/10/2018,"23,154"
5/11/2018,"38,927"
5/12/2018,"37,172"
