DateTime,Energy Produced (Wh)
1/1/2017 0:00,21834
1/2/2017 0:00,2844
1/3/2017 0:00,1757
1/4/2017 0:00,20746
1/5/2017 0:00,2500
1/6/2017 0:00,6486
1/7/2017 0:00,21328
1/8/2017 0:00,12315
1/9/2017 0:00,9648
1/10/2017 0:00,1523
1/11/2017 0:00,9063
1/12/2017 0:00,3371
1/13/2017 0:00,14822
1/14/2017 0:00,1926
1/15/2017 0:00,4938
1/16/2017 0:00,4448
1/17/2017 0:00,7235
1/18/2017 0:00,2720
1/19/2017 0:00,4812
1/20/2017 0:00,4808
1/21/2017 0:00,8732
1/22/2017 0:00,10092
1/23/2017 0:00,1898
1/24/2017 0:00,1876
1/25/2017 0:00,4922
1/26/2017 0:00,4146
1/27/2017 0:00,3749
1/28/2017 0:00,3308
1/29/2017 0:00,5624
1/30/2017 0:00,15211
1/31/2017 0:00,3330
2/1/2017 0:00,5035
2/2/2017 0:00,20657
2/3/2017 0:00,11430
2/4/2017 0:00,23099
2/5/2017 0:00,27031
2/6/2017 0:00,25914
2/7/2017 0:00,2406
2/8/2017 0:00,3371
2/9/2017 0:00,1917
2/10/2017 0:00,2763
2/11/2017 0:00,11282
2/12/2017 0:00,8109
2/13/2017 0:00,30846
2/14/2017 0:00,27826
2/15/2017 0:00,8591
2/16/2017 0:00,27356
2/17/2017 0:00,24913
2/18/2017 0:00,28771
2/19/2017 0:00,20044
2/20/2017 0:00,17230
2/21/2017 0:00,10457
2/22/2017 0:00,2965
2/23/2017 0:00,12189
2/24/2017 0:00,23719
2/25/2017 0:00,7268
2/26/2017 0:00,33137
2/27/2017 0:00,5184
2/28/2017 0:00,4094
3/1/2017 0:00,8269
3/2/2017 0:00,15692
3/3/2017 0:00,15642
3/4/2017 0:00,20692
3/5/2017 0:00,32617
3/6/2017 0:00,2973
3/7/2017 0:00,3646
3/8/2017 0:00,35151
3/9/2017 0:00,31110
3/10/2017 0:00,26995
3/11/2017 0:00,30460
3/12/2017 0:00,33085
3/13/2017 0:00,12772
3/14/2017 0:00,13134
3/15/2017 0:00,33918
3/16/2017 0:00,35384
3/17/2017 0:00,2221
3/18/2017 0:00,6877
3/19/2017 0:00,5900
3/20/2017 0:00,7417
3/21/2017 0:00,25249
3/22/2017 0:00,33319
3/23/2017 0:00,35569
3/24/2017 0:00,28791
3/25/2017 0:00,20585
3/26/2017 0:00,7902
3/27/2017 0:00,20073
3/28/2017 0:00,12238
3/29/2017 0:00,33651
3/30/2017 0:00,18710
3/31/2017 0:00,3966
4/1/2017 0:00,6426
4/2/2017 0:00,26647
4/3/2017 0:00,13636
4/4/2017 0:00,8835
4/5/2017 0:00,29276
4/6/2017 0:00,8870
4/7/2017 0:00,18724
4/8/2017 0:00,37415
4/9/2017 0:00,33854
4/10/2017 0:00,28976
4/11/2017 0:00,10574
4/12/2017 0:00,35481
4/13/2017 0:00,24104
4/14/2017 0:00,21873
4/15/2017 0:00,21312
4/16/2017 0:00,20729
4/17/2017 0:00,26622
4/18/2017 0:00,36142
4/19/2017 0:00,15156
4/20/2017 0:00,27437
4/21/2017 0:00,25882
4/22/2017 0:00,15453
4/23/2017 0:00,32275
4/24/2017 0:00,32117
4/25/2017 0:00,29453
4/26/2017 0:00,33363
4/27/2017 0:00,16483
4/28/2017 0:00,16459
4/29/2017 0:00,12704
4/30/2017 0:00,26880
5/1/2017 0:00,17137
5/2/2017 0:00,19116
5/3/2017 0:00,23150
5/4/2017 0:00,5217
5/5/2017 0:00,4712
5/6/2017 0:00,27038
5/7/2017 0:00,37745
5/8/2017 0:00,38738
5/9/2017 0:00,13338
5/10/2017 0:00,20806
5/11/2017 0:00,14149
5/12/2017 0:00,17712
5/13/2017 0:00,35336
5/14/2017 0:00,34237
5/15/2017 0:00,35277
5/16/2017 0:00,33815
5/17/2017 0:00,25902
5/18/2017 0:00,20666
5/19/2017 0:00,21695
5/20/2017 0:00,23895
5/21/2017 0:00,10752
5/22/2017 0:00,29953
5/23/2017 0:00,32737
5/24/2017 0:00,10363
5/25/2017 0:00,14833
5/26/2017 0:00,30266
5/27/2017 0:00,19952
5/28/2017 0:00,23841
5/29/2017 0:00,30771
5/30/2017 0:00,32071
5/31/2017 0:00,30822
6/1/2017 0:00,34511
6/2/2017 0:00,34552
6/3/2017 0:00,32290
6/4/2017 0:00,24110
6/5/2017 0:00,24031
6/6/2017 0:00,30169
6/7/2017 0:00,11769
6/8/2017 0:00,26959
6/9/2017 0:00,27928
6/10/2017 0:00,31763
6/11/2017 0:00,33786
6/12/2017 0:00,31380
6/13/2017 0:00,23216
6/14/2017 0:00,19758
6/15/2017 0:00,20815
6/16/2017 0:00,32610
6/17/2017 0:00,31067
6/18/2017 0:00,21954
6/19/2017 0:00,25699
6/20/2017 0:00,32813
6/21/2017 0:00,28095
6/22/2017 0:00,25635
6/23/2017 0:00,5696
6/24/2017 0:00,33318
6/25/2017 0:00,33846
6/26/2017 0:00,28571
6/27/2017 0:00,31392
6/28/2017 0:00,32194
6/29/2017 0:00,29756
6/30/2017 0:00,20873
7/1/2017 0:00,22745
7/2/2017 0:00,33113
7/3/2017 0:00,28805
7/4/2017 0:00,32197
7/5/2017 0:00,28802
7/6/2017 0:00,11352
7/7/2017 0:00,16897
7/8/2017 0:00,28481
7/9/2017 0:00,35120
7/10/2017 0:00,15472
7/11/2017 0:00,21475
7/12/2017 0:00,25828
7/13/2017 0:00,9319
7/14/2017 0:00,25261
7/15/2017 0:00,28850
7/16/2017 0:00,31225
7/17/2017 0:00,18988
7/18/2017 0:00,28220
7/19/2017 0:00,30426
7/20/2017 0:00,23514
7/21/2017 0:00,13228
